identificad,totalflows_07_08,totalflows_pw_07_08,totalflows_08_09,totalflows_pw_08_09,totalflows_09_10,totalflows_pw_09_10,totalflows_10_11,totalflows_pw_10_11
00001961000110,0.0,0.0,0.0,0.0,2.0,0.2,0.0,0.0
00009638000355,24.0,0.09073724,21.0,0.085192695,44.0,0.17357002,23.0,0.07783418
00009638000436,13.0,0.50980395,0.0,0.0,7.0,0.17073171,10.0,0.18518518
00012377000160,28.0,0.23829788,27.0,0.179402,39.0,0.20911528,54.0,0.21556886
00018215000130,11.0,0.30136988,7.0,0.1521739,8.0,0.1509434,21.0,0.3255814
00025372000172,18.0,0.17391305,14.0,0.13930348,20.0,0.18957347,27.0,0.24107143
00028664000169,14.0,0.19444445,24.0,0.3,29.0,0.320442,22.0,0.2244898
00028740000136,13.0,0.2795699,13.0,0.26530612,16.0,0.32323232,20.0,0.36697248
00028986001775,7.0,0.08139535,7.0,0.08045977,8.0,0.08888889,11.0,0.11167513
00033613000125,28.0,0.18181819,10.0,0.06644518,13.0,0.08360129,18.0,0.114285715
00034463000174,6.0,0.071428575,11.0,0.12087912,5.0,0.05154639,10.0,0.09478673
00037127000185,1.0,0.01923077,1.0,0.01724138,1.0,0.015384615,2.0,0.025974026
00037226000167,5.0,0.012674271,0.0,0.0,1.0,0.0026595744,1.0,0.0027210885
00037457000170,30.0,0.012386457,47.0,0.021658987,25.0,0.011814745,24.0,0.011417697
00046060000145,4.0,0.007292616,5.0,0.00913242,5.0,0.009285051,16.0,0.029962547
00048785001578,9.0,0.23376623,4.0,0.103896104,6.0,0.12765957,13.0,0.23853211
00048785003279,38.0,0.12603648,38.0,0.124590166,46.0,0.1387632,50.0,0.14104372
00048785004593,3.0,0.04477612,10.0,0.14814815,19.0,0.24358974,14.0,0.2074074
00048785004674,72.0,0.18701299,71.0,0.18158568,93.0,0.21933962,88.0,0.20608899
00057240000122,71.0,0.20256776,85.0,0.21907216,137.0,0.28902954,121.0,0.2182146
00057240001102,37.0,0.4654088,17.0,0.25757575,27.0,0.40601504,44.0,0.5641026
00059822000300,40.0,0.125,34.0,0.104776576,60.0,0.17751479,94.0,0.25268817
00062914000187,4.0,0.12307692,6.0,0.1904762,5.0,0.21276596,0.0,0.0
00063960007294,56.0,0.7887324,37.0,0.2551724,33.0,0.23321554,40.0,0.3065134
00070408000130,54.0,0.60674155,32.0,0.29767442,26.0,0.22608696,15.0,0.12820514
00070408000644,18.0,0.6545454,15.0,0.37974682,19.0,0.40425533,18.0,0.3956044
00072393000149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00074569003206,49.0,0.4279476,24.0,0.19917013,39.0,0.32911393,16.0,0.12851405
00079570000119,0.0,0.0,1.0,0.055555556,0.0,0.0,2.0,0.083333336
00080671000100,159.0,0.14183764,102.0,0.085642315,128.0,0.10861264,134.0,0.118952505
00080671000371,40.0,0.1724138,56.0,0.20363636,46.0,0.15753424,42.0,0.14608696
00080671000614,,,1.0,2.0,1.0,2.0,0.0,0.0
00080671001181,31.0,0.16145833,15.0,0.06880734,24.0,0.11320755,19.0,0.094527364
00080671001262,17.0,0.12274368,14.0,0.09929078,7.0,0.05,13.0,0.0942029
00080671001343,6.0,0.114285715,5.0,0.08928572,4.0,0.07017544,22.0,0.3283582
00080671002749,14.0,1.8666667,6.0,0.38709676,3.0,0.1875,2.0,0.121212125
00080671003125,,,16.0,1.7777778,0.0,0.0,1.0,0.054054055
00085144000198,45.0,0.5421687,60.0,0.73619634,58.0,0.5065502,63.0,0.4921875
00092082000141,30.0,0.062111802,33.0,0.09065934,21.0,0.072289154,10.0,0.036363635
00095840000185,27.0,0.06323185,36.0,0.09411765,26.0,0.08024691,33.0,0.110367894
00095840000266,4.0,0.08695652,17.0,0.29310346,14.0,0.2074074,11.0,0.19298245
00097326000189,8.0,0.1882353,3.0,0.0625,3.0,0.06666667,11.0,0.21153846
00100863000130,4.0,0.16,4.0,0.1632653,5.0,0.22222222,0.0,0.0
00101599000150,22.0,0.295302,31.0,0.35632184,30.0,0.31746033,28.0,0.29946524
00105229000433,31.0,0.18343195,36.0,0.21752267,33.0,0.16541353,21.0,0.10966057
00108217000110,3.0,0.054545455,8.0,0.13445379,7.0,0.104477614,5.0,0.065789476
00108217000209,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11764706
00108217000381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217000462,0.0,0.0,1.0,0.14285715,1.0,0.14285715,0.0,0.0
00108217000543,1.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0
00108217000624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217000705,0.0,0.0,2.0,0.30769232,0.0,0.0,0.0,0.0
00108217000896,0.0,0.0,1.0,0.25,0.0,0.0,2.0,1.0
00108217000977,0.0,0.0,1.0,0.2857143,1.0,0.25,3.0,0.46153846
00108217001000,0.0,0.0,0.0,0.0,1.0,0.6666667,0.0,0.0
00108217001191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217001272,0.0,0.0,1.0,0.11764706,1.0,0.11111111,0.0,0.0
00108217001353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217001434,0.0,0.0,0.0,0.0,1.0,0.14285715,0.0,0.0
00108217001515,,,0.0,0.0,0.0,0.0,0.0,0.0
00108217001604,0.0,0.0,3.0,0.85714287,1.0,0.2857143,2.0,0.5714286
00108217001787,4.0,0.27586207,2.0,0.14814815,3.0,0.24,0.0,0.0
00108217001868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217001949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217002163,2.0,0.30769232,2.0,0.2857143,0.0,0.0,1.0,0.125
00108217002244,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.6666667
00108217002325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217002406,0.0,0.0,1.0,0.15384616,0.0,0.0,0.0,0.0
00108217002597,,,3.0,1.0,3.0,0.6666667,1.0,0.25
00108217002678,0.0,0.0,1.0,0.22222222,1.0,0.16666667,2.0,0.22222222
00108217002759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217002830,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.22222222
00108217002910,1.0,0.08,2.0,0.15384616,1.0,0.06666667,2.0,0.125
00108217003135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217003216,0.0,0.0,1.0,0.11111111,0.0,0.0,0.0,0.0
00108217003305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217003488,0.0,0.0,2.0,0.6666667,1.0,0.22222222,0.0,0.0
00108217003569,0.0,0.0,1.0,0.15384616,0.0,0.0,0.0,0.0
00108217003640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217003720,1.0,0.083333336,0.0,0.0,0.0,0.0,1.0,0.09090909
00108217003801,1.0,0.1,1.0,0.1,3.0,0.375,0.0,0.0
00108217003992,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4
00108217004026,1.0,0.09090909,0.0,0.0,0.0,0.0,0.0,0.0
00108217004107,0.0,0.0,2.0,0.36363637,0.0,0.0,0.0,0.0
00108217004298,,,2.0,0.5714286,0.0,0.0,1.0,1.0
00108217004379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217004450,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18181819
00108217004530,2.0,0.078431375,1.0,0.03773585,0.0,0.0,0.0,0.0
00108217004883,1.0,0.22222222,1.0,0.2,1.0,0.22222222,3.0,0.6666667
00108217004964,1.0,0.25,2.0,0.5,2.0,0.6666667,0.0,0.0
00108217005189,0.0,0.0,3.0,0.33333334,2.0,0.15384616,0.0,0.0
00108217005260,1.0,0.4,0.0,0.0,2.0,0.4,0.0,0.0
00108217005421,0.0,0.0,1.0,0.071428575,1.0,0.0625,0.0,0.0
00108217005502,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0
00108217005693,1.0,0.13333334,0.0,0.0,1.0,0.11764706,0.0,0.0
00108217005774,0.0,0.0,2.0,0.5,2.0,0.44444445,1.0,0.22222222
00108217005936,0.0,0.0,0.0,0.0,1.0,0.18181819,0.0,0.0
00108217006070,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
00108217006150,0.0,0.0,2.0,0.2857143,0.0,0.0,2.0,0.4
00108217006231,0.0,0.0,2.0,0.16,1.0,0.08695652,1.0,0.083333336
00108217006312,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0
00108217006401,2.0,0.30769232,3.0,0.5,0.0,0.0,0.0,0.0
00108217006584,1.0,0.2857143,2.0,0.6666667,0.0,0.0,2.0,0.5714286
00108217006746,0.0,0.0,2.0,0.23529412,1.0,0.13333334,0.0,0.0
00108217006827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217007041,1.0,0.25,0.0,0.0,1.0,0.25,0.0,0.0
00108217007122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00108217007203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
