partition,col,p90,outcome,b1,se1,b2,se2,bp1,sp1,bp2,sp2,peq,n,firms
edu2,firm,own,wage,0.00191305143626894,0.00131925334348744,0.00256923519320064,0.00282406713834432,-0.00069119931581494,0.00178572691356832,0.00261699179651016,0.00302011972684023,0.851995857233253,28227,3546
edu2,firm,own,emp,0.00152616469845114,0.005481712903025,0.00457675805812939,0.00986506281579465,0.000705410305894161,0.00479302624611237,0.00321181006907982,0.00718539059785902,0.796255263798502,28368,3546
edu2,firm,firm,wage,0.00266587497646488,0.00183840558528778,0.00199122796385878,0.00218872973153633,-0.000963199904012374,0.00248844573827938,0.00202824064538167,0.00234067588292209,0.839074369208272,28227,3546
edu2,firm,firm,emp,0.00212674066281744,0.00763887524366522,0.00354711341852675,0.00764569510646518,0.000983003199483064,0.00667917677948083,0.00248924117226535,0.00556887540990968,0.900865034469011,28368,3546
edu2,firm,sd,wage,0.00351150882037156,0.00242156045769219,0.00278788594800776,0.00306440496682858,-0.00126873352599879,0.00327779785683662,0.00283970680257623,0.00327714231249715,0.873145282594124,28227,3546
edu2,firm,sd,emp,0.00280135740124959,0.0100619789122362,0.0049662559159408,0.0107046136037376,0.00129481856272776,0.00879785750683232,0.00348514615670242,0.00779689206021701,0.888904649529626,28368,3546
edu2,g1,firm,wage,0.000294830812096788,0.00547227805695066,0.00125056521761792,0.00386888882584741,0.00275338926194437,0.00793012234218202,-0.00469698521855761,0.00417791468828279,0.910068505374865,25882,3492
edu2,g1,firm,emp,-0.00956704143133019,0.0100958602690805,0.00646684200959313,0.00957310593074307,0.00145320394469343,0.0101783874217054,-0.0050771628567841,0.00806546577286918,0.325947836930299,25882,3492
edu2,g2,firm,wage,0.0020840344068548,0.0020483330781106,0.00175903706709554,0.00276442192646523,0.000887795648200383,0.00247617505910604,0.00114705237706775,0.00360379083730458,0.933598259767103,27651,3533
edu2,g2,firm,emp,0.00643567293694548,0.00795429726482871,-0.00547924145070696,0.00975870193287431,-0.00587711546987501,0.00809020317798094,0.0141993274493064,0.0072647940100042,0.383995618013,27651,3533
gender,firm,own,wage,0.000903660689440698,0.000865265179615494,0.0023891357296824,0.00193690449262749,0.000470795196533379,0.00125501516516702,0.00244825003879542,0.00340936186592166,0.518919015596206,28903,3632
gender,firm,own,emp,0.0019352149569729,0.00238510459260078,0.00222990130107386,0.00620309673950835,0.000854748175514638,0.0019525269187623,-0.000919608289286578,0.00702385081246734,0.964711633367063,29056,3632
gender,firm,firm,wage,0.00116272382856461,0.00111332102206289,0.00195378934992036,0.00158396332300953,0.000605763645336739,0.00161480526352517,0.00200213189745256,0.00278811070501549,0.712070210510712,28903,3632
gender,firm,firm,emp,0.00249000600574946,0.00306887084482143,0.00182357049006617,0.0050727734701737,0.00109978898352666,0.00251228099317219,-0.000752038010810496,0.00574397039997917,0.910766099610125,29056,3632
gender,firm,sd,wage,0.00149752848853392,0.00143390021470626,0.00296153922249701,0.00240095970851752,0.000780192418804907,0.00207978612474879,0.00303481649296521,0.00422619726630392,0.634285986295832,28903,3632
