variable,var_type,coef,se,ci_lower,ci_upper,spec,reg_type,r2,n
z_cep_proximity,proximity,0.0211059410196508,0.0005679350180139,0.0199927883843435,0.0222190936549581,gravity,multivariate,0.0146651083893013,254482256
z_turnover_proximity,proximity,0.0002379667731901,9.720616088032853e-05,4.744269786473198e-05,0.0004284908485156,gravity,multivariate,0.0146651083893013,254482256
z_size_proximity,proximity,-0.0013715729980142,0.000256237856334,-0.0018737991964291,-0.0008693467995994,gravity,multivariate,0.0146651083893013,254482256
z_wage_proximity,proximity,-0.0012423362493771,0.0001244857952761,-0.0014863284081184,-0.0009983440906359,gravity,multivariate,0.0146651083893013,254482256
z_female_proximity,proximity,0.0019393712253969,0.000105384579695,0.0017328174491945,0.0021459250015993,gravity,multivariate,0.0146651083893013,254482256
z_nonwhite_proximity,proximity,-0.0022274198608685,0.0001496806715333,-0.0025207939770738,-0.0019340457446631,gravity,multivariate,0.0146651083893013,254482256
z_educ_proximity,proximity,0.001554616681236,0.0001439111550022,0.0012725508174316,0.0018366825450404,gravity,multivariate,0.0146651083893013,254482256
z_hs_proximity,proximity,0.0018231392970268,0.0001142929499043,0.0015991251152142,0.0020471534788393,gravity,multivariate,0.0146651083893013,254482256
z_clauses_proximity,proximity,0.0016923348649354,0.0001101939490736,0.001476354724751,0.0019083150051198,gravity,multivariate,0.0146651083893013,254482256
same_microregion,dummy,-0.0131106062957873,0.0026367444471735,-0.0182786254122474,-0.0079425871793272,gravity,multivariate,0.0146651083893013,254482256
same_union,dummy,0.2475568966168768,0.006240511953643,0.2353254931877365,0.2597883000460171,gravity,multivariate,0.0146651083893013,254482256
same_industry,dummy,-0.090251937646939,0.0033014429635133,-0.0967227658554252,-0.0837811094384527,gravity,multivariate,0.0146651083893013,254482256
same_industry_micro,dummy,2.9034076729731217,0.0948938237446471,2.717415778433613,3.08939956751263,gravity,multivariate,0.0146651083893013,254482256
