variable,var_type,coef,se,ci_lower,ci_upper,spec,reg_type,r2,n
z_cep_proximity,proximity,0.0403884235454186,0.0008723396187384,0.0386786378926912,0.042098209198146,gravity,univariate,0.0015731995964379,254482256
z_turnover_proximity,proximity,0.0013673902599436,0.0007734602763835,-0.0001485918817681,0.0028833724016553,gravity,univariate,0.0003078201598024,254482256
z_size_proximity,proximity,0.0035738378953391,0.0002222261800571,0.003138274582427,0.0040094012082511,gravity,univariate,0.0003167954498646,254482256
z_wage_proximity,proximity,0.0117209282957303,0.0003416782521757,0.0110512389214658,0.0123906176699947,gravity,univariate,0.0004233840253413,254482256
z_female_proximity,proximity,0.0064685754971292,0.0001707846531783,0.0061338375768997,0.0068033134173587,gravity,univariate,0.0003423431787964,254482256
z_nonwhite_proximity,proximity,0.0072512532457516,0.0001777053451415,0.0069029507692741,0.0075995557222291,gravity,univariate,0.0003488331032004,254482256
z_educ_proximity,proximity,0.0102056018091703,0.0002786870481943,0.0096593751947095,0.0107518284236312,gravity,univariate,0.0003913207509091,254482256
z_hs_proximity,proximity,0.0059643290638427,0.000153266414261,0.0056639268918911,0.0062647312357943,gravity,univariate,0.0003361125580176,254482256
z_clauses_proximity,proximity,0.012777294557663,0.0003186578736789,0.0121527251252522,0.0134018639900738,gravity,univariate,0.000450026260206,254482256
same_microregion,dummy,0.31755732475137,0.0076948086488738,0.3024754997995773,0.3326391497031626,gravity,univariate,0.0019739958796927,254482256
same_union,dummy,0.2974030617475254,0.0060666584572305,0.2855124111713535,0.3092937123236973,gravity,univariate,0.0023365120140824,254482256
same_industry,dummy,0.1809529711385233,0.0036993931401726,0.1737021605837848,0.1882037816932618,gravity,univariate,0.0014245170763403,254482256
same_industry_micro,dummy,3.0619789092411263,0.0959222452646366,2.8739713085224383,3.249986509959814,gravity,univariate,0.0136063998415768,254482256
