identificad,treat_ultra,municipio
00001961000110,1,351230
00009638000355,1,352100
00009638000436,1,352100
00012377000160,1,521880
00018215000130,1,354780
00025372000172,1,352450
00028664000169,1,355250
00028740000136,1,420820
00028986001775,1,410690
00033613000125,1,317040
00034463000174,1,350635
00037127000185,0,530010
00037226000167,0,530010
00037457000170,1,530010
00046060000145,1,530010
00048785001578,1,211120
00048785003279,1,251370
00048785004593,0,150140
00048785004674,1,291005
00057240000122,1,530010
00057240001102,1,530010
00059822000300,0,351350
00062914000187,1,520140
00063960007294,0,261160
00070408000130,0,421130
00070408000644,1,420890
00072393000149,1,311530
00074569003206,0,330350
00079570000119,0,230440
00080671000100,0,521150
00080671000371,1,522040
00080671000614,1,510040
00080671001181,1,354850
00080671001262,1,410140
00080671001343,1,410140
00080671002749,1,510270
00080671003125,1,510020
00085144000198,0,314590
00092082000141,0,230440
00095840000185,1,432260
00095840000266,1,420140
00097326000189,0,352590
00100863000130,1,410550
00101599000150,1,420910
00105229000433,1,150840
00108217000110,0,530010
00108217000209,0,530010
00108217000381,0,530010
00108217000462,0,530010
00108217000543,0,530010
00108217000624,0,530010
00108217000705,0,530010
00108217000896,0,530010
00108217000977,0,530010
00108217001000,0,530010
00108217001191,0,530010
00108217001272,0,530010
00108217001353,0,530010
00108217001434,0,530010
00108217001515,0,530010
00108217001604,0,530010
00108217001787,0,530010
00108217001868,0,530010
00108217001949,0,530010
00108217002163,0,530010
00108217002244,0,530010
00108217002325,0,530010
00108217002406,0,530010
00108217002597,0,530010
00108217002678,0,530010
00108217002759,0,530010
00108217002830,0,530010
00108217002910,0,530010
00108217003135,0,530010
00108217003216,0,530010
00108217003305,0,530010
00108217003488,0,530010
00108217003569,0,530010
00108217003640,0,530010
00108217003720,0,530010
00108217003801,0,530010
00108217003992,0,530010
00108217004026,0,530010
00108217004107,0,530010
00108217004298,0,530010
00108217004379,0,530010
00108217004450,0,530010
00108217004530,0,530010
00108217004883,0,530010
00108217004964,0,530010
00108217005189,0,530010
00108217005260,0,530010
00108217005421,0,530010
00108217005502,0,530010
00108217005693,0,530010
00108217005774,0,530010
00108217005936,0,530010
00108217006070,0,530010
00108217006150,0,530010
00108217006231,0,530010
00108217006312,0,530010
00108217006401,0,530010
00108217006584,0,530010
00108217006746,0,530010
00108217006827,0,530010
00108217007041,0,530010
00108217007122,0,530010
00108217007203,0,530010
00108217007394,0,530010
00108217007556,0,530010
00108217007637,0,530010
00108217007718,0,530010
00108217007807,0,530010
00108217007980,0,530010
00108217008013,0,530010
00108217008102,0,530010
00108217008285,0,530010
00108217008366,0,530010
00108217008447,0,530010
00108217008528,0,530010
00108217008609,0,530010
00108217008790,0,530010
00108217008870,0,530010
00108217008951,0,530010
00108217009095,0,530010
00108217009176,0,530010
00108217009257,0,530010
