municipio,n_estab,n_treated,n_control
110002,8,3,5
110004,6,4,2
110007,1,1,0
110009,1,1,0
110011,4,4,0
110012,12,8,4
110015,2,1,1
110018,3,1,2
110020,38,22,16
110025,2,2,0
110028,3,3,0
110029,1,0,1
110030,8,6,2
110033,1,1,0
110110,2,2,0
120020,3,2,1
120034,1,1,0
120040,20,13,7
120050,1,1,0
120060,2,2,0
130185,1,1,0
130190,4,3,1
130250,7,7,0
130260,278,148,130
130270,1,1,0
130340,1,1,0
130353,2,1,1
130406,2,2,0
130420,2,2,0
140010,17,9,8
140020,1,0,1
150010,1,1,0
150050,9,7,2
150060,2,2,0
150080,18,12,6
150130,2,1,1
150140,134,107,27
150150,4,3,1
150170,2,2,0
150178,1,0,1
150180,1,1,0
150210,1,1,0
150220,6,3,3
150240,2,1,1
150270,1,1,0
150293,4,4,0
150304,1,1,0
150309,6,0,6
150340,1,1,0
150360,7,3,4
150375,1,1,0
150380,7,2,5
150420,4,3,1
150442,3,2,1
150470,1,1,0
150497,2,2,0
150530,1,1,0
150543,3,3,0
150550,2,2,0
150553,26,19,7
150613,1,1,0
150616,2,0,2
150680,9,5,4
150700,3,3,0
150730,1,1,0
150795,1,1,0
150808,1,1,0
150810,7,4,3
150812,1,1,0
150840,3,1,2
160027,2,2,0
160030,21,13,8
160040,2,1,1
160053,1,1,0
160060,6,4,2
160070,1,1,0
170040,1,1,0
170070,1,1,0
170100,1,1,0
170110,1,1,0
170200,1,1,0
170210,10,7,3
170220,2,2,0
170230,1,1,0
170240,1,1,0
170255,1,1,0
170310,1,1,0
170320,1,1,0
170380,1,1,0
170384,1,1,0
170550,2,2,0
170555,1,1,0
170610,1,1,0
170700,5,4,1
170720,1,1,0
170770,1,1,0
170820,1,1,0
170930,1,1,0
170950,6,6,0
171050,1,1,0
171190,1,1,0
171200,1,0,1
171250,1,1,0
171270,1,1,0
171320,2,2,0
171360,1,1,0
171420,1,1,0
171488,1,1,0
171500,1,1,0
171525,1,1,0
171575,1,1,0
171610,4,3,1
171620,1,1,0
171650,1,1,0
171660,2,2,0
171670,1,1,0
171720,1,0,1
171780,1,0,1
171790,1,1,0
171820,4,4,0
171840,1,1,0
171875,1,1,0
171886,1,1,0
172065,1,1,0
172080,1,1,0
172090,3,2,1
172100,29,26,3
172110,1,1,0
172120,2,2,0
172210,2,2,0
210005,4,4,0
210030,1,0,1
210100,1,1,0
210120,2,2,0
210140,3,3,0
210160,2,2,0
210170,1,1,0
210232,1,1,0
210255,2,1,1
210280,2,2,0
210300,3,3,0
210320,1,1,0
210325,1,0,1
210330,5,2,3
210340,1,1,0
210350,1,1,0
210360,1,1,0
210380,1,1,0
