a,b,weight
313170,315780,1761
351880,355030,611
410690,412550,482
310620,315780,424
150140,150553,377
260960,261160,357
354780,354870,352
240120,240140,350
310620,311860,331
355030,530010,323
260790,261160,306
351380,354870,295
330170,330455,283
354870,355030,274
353440,355030,250
350570,355030,237
260190,260790,230
250300,251120,226
351350,354850,220
310670,311860,209
310620,330455,201
251120,260360,198
354850,355100,195
330455,330630,194
354870,354880,193
320530,330455,187
410180,410690,179
330455,530010,178
320500,320530,177
310620,310670,168
330350,330455,168
320520,320530,148
150140,355670,145
354780,354880,132
330330,330455,129
330455,355030,127
350950,355030,127
150140,150680,124
350620,355630,124
420540,421660,122
520870,530010,119
353070,353080,119
150553,315780,119
351210,352930,117
352940,354780,117
350950,355240,114
250890,251370,114
352940,354870,114
330240,330455,114
150553,211130,113
500600,500720,109
310620,313170,106
411560,411580,105
313170,320530,105
310620,320530,105
351870,354850,103
354780,355030,98
330455,330510,95
352260,354970,93
350950,352050,92
500540,500720,92
261070,261160,90
350950,352590,90
520140,520870,90
150553,310620,89
354850,355030,88
410180,412550,85
150080,150140,85
211130,320530,85
315780,330455,84
330630,354780,84
431440,431560,83
350950,351907,83
354880,355030,82
313670,330455,81
150543,150553,81
260190,260960,79
520110,520870,79
420890,420910,79
250400,250750,78
313170,314000,75
311780,315960,75
317010,317020,74
311830,313170,71
355220,355700,70
330330,330490,70
230440,230765,70
250300,260360,69
352590,355030,69
351030,352930,69
260720,261160,67
310620,530010,66
313170,330455,66
330100,330455,65
150553,313170,65
352590,352730,65
211130,330455,65
353060,355030,64
350950,352470,63
352390,355220,62
410690,530010,62
261160,530010,62
260290,261160,62
260720,261420,61
350950,353870,60
330200,330455,59
350950,355620,59
410580,410690,58
330455,330490,58
351380,354780,58
430460,431490,58
353190,355170,57
420820,421130,57
352740,353600,56
354100,355100,55
310620,313670,54
313670,355030,54
354870,355410,53
310620,314480,53
350950,354870,52
430460,431340,52
431340,431870,51
350950,355670,51
352440,354990,51
240140,250890,50
260960,261070,50
354100,354850,50
431340,431490,49
260790,260960,49
330225,330455,49
290570,292740,48
320130,320530,48
351620,354340,48
351500,355030,48
350950,353650,48
310620,316720,47
510340,510840,47
150543,310620,47
410690,411370,47
292740,530010,47
500270,520870,47
354330,354870,47
130260,150140,46
310620,314330,46
315780,320530,46
250750,261160,46
230440,530010,46
310670,315780,46
350850,354990,46
330040,330630,45
350950,354970,45
354880,354990,44
310620,317020,44
411370,411520,44
430920,431490,44
520320,521460,43
351350,354780,43
350160,350950,43
355030,355280,43
410690,411990,43
420650,420890,43
150553,330455,43
355030,410690,42
250180,250750,42
412080,412550,41
410345,411670,41
351200,353390,41
330045,330350,41
520870,522140,41
353060,355250,40
352450,354980,40
350960,352590,40
110020,130260,39
410690,421660,39
354340,355170,39
420910,421620,39
292740,293070,39
420240,421320,38
350600,355030,38
420420,420665,38
352940,354880,38
420670,420900,38
330170,330350,38
250750,251370,38
410690,420910,38
351380,354880,37
270030,270430,37
351380,355030,36
260410,261160,36
291920,292740,36
500270,500370,36
431490,530010,36
291072,292530,36
353020,500230,36
350750,355010,36
330414,330455,36
330420,330630,36
410690,411520,36
351190,354180,35
261160,261370,35
410480,410830,35
353870,354400,35
350160,353340,35
430460,431870,35
230440,240810,35
330170,330510,35
280030,292740,35
350320,352930,35
520110,530010,35
351907,355240,34
410480,410690,34
