variable,var_type,coef,se,ci_lower,ci_upper,spec,reg_type,r2,n
z_bilateral_conn_early_pre,early_connectivity,0.2390231273079118,0.0216692418936816,0.1965514131962958,0.2814948414195278,pretreat,multivariate,0.0621836496987818,254482256
z_cep_proximity,proximity,0.0100177380123246,0.0004498314860959,0.0091360682995765,0.0108994077250726,pretreat,multivariate,0.0621836496987818,254482256
z_turnover_proximity,proximity,0.0001965594725155,6.24136070123768e-05,7.422880277132594e-05,0.0003188901422598,pretreat,multivariate,0.0621836496987818,254482256
z_size_proximity,proximity,-0.0020251669380608,0.0003783737658436,-0.0027667795191143,-0.0012835543570073,pretreat,multivariate,0.0621836496987818,254482256
z_wage_proximity,proximity,-0.0004120373630166,8.560058991014182e-05,-0.0005798145192405,-0.0002442602067927,pretreat,multivariate,0.0621836496987818,254482256
z_female_proximity,proximity,0.0010961807270207,8.975371105188182e-05,0.000920263453359,0.0012720980006824,pretreat,multivariate,0.0621836496987818,254482256
z_nonwhite_proximity,proximity,-0.0009343364369089,9.430996887412704e-05,-0.0011191839759022,-0.0007494888979156,pretreat,multivariate,0.0621836496987818,254482256
z_educ_proximity,proximity,0.0005086089559722,0.0001091129958111,0.0002947474841824,0.0007224704277621,pretreat,multivariate,0.0621836496987818,254482256
z_hs_proximity,proximity,0.0007141799673506,8.783506702668278e-05,0.0005420232359783,0.0008863366987229,pretreat,multivariate,0.0621836496987818,254482256
z_clauses_proximity,proximity,0.000897743790539,8.155752866005733e-05,0.0007378910343653,0.0010575965467127,pretreat,multivariate,0.0621836496987818,254482256
same_microregion,dummy,-0.0076428580774716,0.0021341600365404,-0.0118258117490909,-0.0034599044058523,pretreat,multivariate,0.0621836496987818,254482256
same_union,dummy,0.1168510584547231,0.0049177308744188,0.1072123059408621,0.126489810968584,pretreat,multivariate,0.0621836496987818,254482256
same_industry,dummy,-0.042689580304425,0.0023516725835286,-0.0472988585681411,-0.0380803020407089,pretreat,multivariate,0.0621836496987818,254482256
same_industry_micro,dummy,1.3935027776559528,0.0737395263204771,1.2489733060678176,1.538032249244088,pretreat,multivariate,0.0621836496987818,254482256
