variable,var_type,coef,se,ci_lower,ci_upper,spec,reg_type,r2,n
z_bilateral_conn_early_pre,early_connectivity,0.2424695242570805,0.0218084276826702,0.1997250059990469,0.2852140425151142,pretreat,univariate,0.0589076214809167,254482256
z_cep_proximity,proximity,0.0240758890444175,0.0009213845308111,0.0222699753640276,0.0258818027248073,pretreat,univariate,0.0005717551606952,254482256
z_turnover_proximity,proximity,0.0008757831992601,0.0004934140174796,-9.130827499999208e-05,0.0018428746735202,pretreat,univariate,0.0001221597161142,254482256
z_size_proximity,proximity,0.0007113123772182,0.0003427721757026,3.9478912841154896e-05,0.0013831458415954,pretreat,univariate,0.0001221674874603,254482256
z_wage_proximity,proximity,0.0069332480820091,0.0003322593160658,0.0062820198225201,0.0075844763414981,pretreat,univariate,0.0001625394326383,254482256
z_female_proximity,proximity,0.0039177631745368,0.0001834097089613,0.0035582801449726,0.004277246204101,pretreat,univariate,0.0001347829111661,254482256
z_nonwhite_proximity,proximity,0.0043792408234245,0.0001903254046373,0.0040062030303353,0.0047522786165136,pretreat,univariate,0.0001370756865338,254482256
z_educ_proximity,proximity,0.0058155486319176,0.0002491721244926,0.005327171267912,0.0063039259959231,pretreat,univariate,0.0001491934914614,254482256
z_hs_proximity,proximity,0.0032933933013857,0.0001241753669889,0.0030500095820874,0.003536777020684,pretreat,univariate,0.000130687376138,254482256
z_clauses_proximity,proximity,0.0076025781798303,0.0003471445389981,0.006922174883394,0.0082829814762666,pretreat,univariate,0.0001724526757789,254482256
same_microregion,dummy,0.1889642189100055,0.0076087829934289,0.1740510042428847,0.2038774335771263,pretreat,univariate,0.0007120848720112,254482256
same_union,dummy,0.1755977990747392,0.0070120787753352,0.1618541246750821,0.1893414734743963,pretreat,univariate,0.0008293362717123,254482256
same_industry,dummy,0.1066030116836954,0.0045449296575191,0.0976949495549578,0.1155110738124329,pretreat,univariate,0.0005096639189772,254482256
same_industry_micro,dummy,1.834117871708639,0.0915189437358228,1.6547407419864264,2.013495001430852,pretreat,univariate,0.0048936161599812,254482256
