partition,col,outcome,b,se,bpre,sepre,n,firms,gxf
edu2,firm_full,wage,0.00498746590425894,0.00224734523639071,0.00186433724778073,0.00253390450700991,32498,4085,
gender,firm_full,wage,0.00498746590425894,0.00224734523639071,0.00186433724778073,0.00253390450700991,32498,4085,
ten2,firm_full,wage,0.00498746590425894,0.00224734523639071,0.00186433724778073,0.00253390450700991,32498,4085,
edu2,firm_full,emp,0.000842908948975831,0.00813480813436869,-0.00147303080897448,0.00632938125726021,32704,4088,
gender,firm_full,emp,0.000842908948975831,0.00813480813436869,-0.00147303080897448,0.00632938125726021,32704,4088,
ten2,firm_full,emp,0.000842908948975831,0.00813480813436869,-0.00147303080897448,0.00632938125726021,32704,4088,
edu2,within,wage,-0.00317330842841443,0.00441188832302899,0.0048343999679113,0.00571501111449884,50612,3469,6938
edu2,within,emp,-0.0122611186126763,0.0101631437758868,0.0101183358954622,0.0101290082390992,50612,3469,6938
edu2,overall,wage,0.00280466124139959,0.00231986046665235,0.00168792187953199,0.00284594214508713,57789,4085,7565
edu2,overall,emp,-0.00695750063490342,0.00681876175426186,0.0041334180831328,0.00506400428541539,57789,4085,7565
edu2,firm,wage,0.00402087165022649,0.0024171868355255,0.000921116468067974,0.00240267877874189,29609,3720,
edu2,firm,emp,-0.00012761458440646,0.00969386137590232,0.00324843947501555,0.00633085937948052,29760,3720,
gender,within,wage,0.00197509550579898,0.00245312568012672,-0.000954306083355653,0.00543895009037723,53592,3578,7156
gender,within,emp,-0.000633637011433013,0.00467104497875062,-0.00667304050299272,0.0109963492241515,53592,3578,7156
gender,overall,wage,0.00282085943921675,0.00183345107066345,-0.000236856686422801,0.00242048159548542,59289,4085,7672
gender,overall,emp,0.0038025485859261,0.0047687397593345,-0.00215528206265973,0.00607883129463365,59289,4085,7672
gender,firm,wage,0.00433699046216287,0.00234273245279299,0.00287172461234653,0.0026200287356978,30434,3824,
gender,firm,emp,-0.000376922159258757,0.0085494470975647,-0.000448549305626154,0.00670282035983097,30592,3824,
ten2,within,wage,0.00134366265175991,0.00250097224166147,0.00171193299631162,0.00390766009907269,54650,3923,7846
ten2,within,emp,-0.00376546843443968,0.00673381143535551,-0.0108333593320142,0.0088891810728401,54650,3923,7846
ten2,overall,wage,0.00167802165341495,0.00209279027356607,0.00378104668590851,0.00255141484448427,59786,4085,8042
ten2,overall,emp,0.00248223916529253,0.00591534957468211,-0.0106411954979178,0.00650311247952705,59786,4085,8042
ten2,firm,wage,0.00441882232110359,0.0021729897721803,0.00183951283339806,0.00257084703555094,32167,4043,
ten2,firm,emp,0.00105761593944699,0.00834221592499256,-0.00139053747980209,0.00652393311852408,32344,4043,
