partition,col,outcome,b,se,bpre,sepre,n,firms,gxf
edu2,firm_full,wage,0.00654516330019236,0.00232083081989391,0.00139506846179739,0.00255401542552176,32498,4085,
gender,firm_full,wage,0.00654516330019236,0.00232083081989391,0.00139506846179739,0.00255401542552176,32498,4085,
ten2,firm_full,wage,0.00654516330019236,0.00232083081989391,0.00139506846179739,0.00255401542552176,32498,4085,
edu2,firm_full,emp,0.00084290894897582,0.00813480813436869,-0.00147303080897448,0.00632938125726022,32704,4088,
gender,firm_full,emp,0.00084290894897582,0.00813480813436869,-0.00147303080897448,0.00632938125726022,32704,4088,
ten2,firm_full,emp,0.00084290894897582,0.00813480813436869,-0.00147303080897448,0.00632938125726022,32704,4088,
edu2,within,wage,-0.00389819205141667,0.00432466167873493,0.00537276936602455,0.00574946725980095,50612,3469,6938
edu2,within,emp,-0.0122611186126763,0.0101631437758868,0.0101183358954622,0.0101290082390992,50612,3469,6938
edu2,overall,wage,0.00243792747062074,0.00229328844569254,0.00123351460335608,0.00286487309055361,57789,4085,7565
edu2,overall,emp,-0.00695750063490343,0.00681876175426186,0.00413341808313278,0.0050640042854154,57789,4085,7565
edu2,firm,wage,0.00597954560088327,0.00264970895811288,6.06218819685378e-05,0.00245683191493218,29609,3720,
edu2,firm,emp,-0.00012761458440644,0.00969386137590232,0.00324843947501556,0.00633085937948052,29760,3720,
gender,within,wage,0.00231276670064703,0.00217953860837689,0.000199447373171211,0.0053016146091988,53592,3578,7156
gender,within,emp,-0.000633637011433001,0.00467104497875064,-0.00667304050299267,0.0109963492241515,53592,3578,7156
gender,overall,wage,0.00462732092176115,0.00193040100026675,0.000190841476982979,0.0023682850121539,59289,4085,7672
gender,overall,emp,0.00380254858592609,0.00476873975933451,-0.00215528206265975,0.00607883129463364,59289,4085,7672
gender,firm,wage,0.00575638426664901,0.00242589496236098,0.00220412647269741,0.00261418339890834,30434,3824,
gender,firm,emp,-0.000376922159258765,0.0085494470975647,-0.000448549305626161,0.00670282035983097,30592,3824,
ten2,within,wage,-0.000654112510769838,0.0024254529974902,0.00360412233808845,0.00383536241216278,54650,3923,7846
ten2,within,emp,-0.00376546843443963,0.00673381143535547,-0.0108333593320142,0.00888918107284002,54650,3923,7846
ten2,overall,wage,0.0024498642033371,0.00234141833524481,0.00479417591323725,0.00257663489689688,59786,4085,8042
ten2,overall,emp,0.00248223916529253,0.00591534957468211,-0.0106411954979179,0.00650311247952705,59786,4085,8042
ten2,firm,wage,0.00614629726824133,0.00230815235462714,0.00134964676486143,0.00259366907463444,32167,4043,
ten2,firm,emp,0.00105761593944699,0.00834221592499256,-0.00139053747980212,0.00652393311852409,32344,4043,
