partition,col,p90,outcome,b1,se1,b2,se2,bp1,sp1,bp2,sp2,peq,n,firms
edu2,firm,own,wage,0.00192026509975442,0.00147824607176149,0.00420108193992262,0.00313445504868913,-0.0006006361846481,0.0018959926334346,0.00219961478541322,0.00309969248061204,0.558913678997953,28227,3546
edu2,firm,own,emp,0.00152616469845114,0.005481712903025,0.00457675805812932,0.00986506281579465,0.000705410305894146,0.00479302624611236,0.00321181006907985,0.00718539059785902,0.796255263798507,28368,3546
edu2,firm,firm,wage,0.00267592735907234,0.00205996507801049,0.00325595409068263,0.00242928888702796,-0.000836998391292225,0.00264210319765609,0.00170476197820217,0.00240234695643488,0.87512141862927,28227,3546
edu2,firm,firm,emp,0.00212674066281741,0.00763887524366523,0.00354711341852678,0.00764569510646519,0.000983003199483059,0.00667917677948082,0.00248924117226535,0.00556887540990969,0.900865034469007,28368,3546
edu2,firm,sd,wage,0.00352474988775216,0.0027134001425241,0.00455860846750141,0.00340120793536466,-0.00110250002704814,0.00348019647013012,0.00238680957177672,0.00336348697569754,0.837283696246646,28227,3546
edu2,firm,sd,emp,0.00280135740124958,0.0100619789122362,0.00496625591594078,0.0107046136037376,0.00129481856272777,0.00879785750683231,0.0034851461567024,0.00779689206021702,0.888904649529626,28368,3546
edu2,g1,firm,wage,-0.00206402629670105,0.00510065772363244,0.000297895791866356,0.00353262984302331,0.00294332367276093,0.00815114183013928,-0.00549356294652351,0.00419546635639487,0.763092252589161,25882,3492
edu2,g1,firm,emp,-0.00956704143133022,0.0100958602690805,0.00646684200959314,0.00957310593074307,0.00145320394469343,0.0101783874217055,-0.00507716285678411,0.00806546577286919,0.325947836930299,25882,3492
edu2,g2,firm,wage,0.00261142450829706,0.00232685262422103,0.0024816624285614,0.00290682363210384,0.00076088040819288,0.00257918415789097,0.000773161184518644,0.00362717735862615,0.975636430961115,27651,3533
edu2,g2,firm,emp,0.0064356729369455,0.00795429726482871,-0.00547924145070697,0.00975870193287431,-0.00587711546987502,0.00809020317798094,0.0141993274493065,0.0072647940100042,0.383995618012998,27651,3533
gender,firm,own,wage,0.0014840421128466,0.000838429145500075,0.00326103432328194,0.00209690796441262,0.000448003235287614,0.0012148497368886,0.00212364507658283,0.00331395177301647,0.445546773850438,28903,3632
gender,firm,own,emp,0.00193521495697291,0.00238510459260078,0.00222990130107384,0.00620309673950835,0.000854748175514639,0.0019525269187623,-0.000919608289286589,0.00702385081246733,0.964711633367066,29056,3632
gender,firm,firm,wage,0.00190949008556302,0.00107879158341981,0.00266681128719302,0.0017148110916148,0.000576437641948709,0.00156312513503277,0.00173667618883669,0.00271008616204911,0.719513859219618,28903,3632
gender,firm,firm,emp,0.00249000600574946,0.00306887084482143,0.00182357049006617,0.00507277347017369,0.00109978898352667,0.0025122809931722,-0.00075203801081049,0.00574397039997917,0.910766099610125,29056,3632
gender,firm,sd,wage,0.0024593250189375,0.00138942807369501,0.00404233251979889,0.00259929777342535,0.000742422034772593,0.00201322477732721,0.00263244072357446,0.00410792825008588,0.604795800917213,28903,3632
gender,firm,sd,emp,0.00320699966631957,0.00395254786381926,0.00276415445275967,0.00768927215616527,0.00141647164506873,0.00323568873156502,-0.00113993356853951,0.00870666720497639,0.959260181549644,29056,3632
gender,g1,firm,wage,0.00155475021788767,0.00249745485736648,0.000325029006529126,0.00224527213932095,0.00422990947553342,0.00393682800357779,-0.00403849041005158,0.00282330926517781,0.753814223435738,27577,3599
gender,g1,firm,emp,-0.00268530712692864,0.00495501654152631,0.00334411026790665,0.00636364641796522,0.00681697380969258,0.00673897765532459,-0.000438695160844965,0.00599002490992704,0.461550751761691,27577,3599
gender,g2,firm,wage,0.00122801433900447,0.00133697567801835,0.00630962457090837,0.00277823985652083,0.000282980487254297,0.00159390343469697,0.000423656451006304,0.00359438131938469,0.106927877891572,28130,3620
gender,g2,firm,emp,0.000752902853430052,0.00346390771113047,0.00767935436732118,0.00626942257541219,0.00132752252805651,0.00347244185729729,-0.00530082001417485,0.00897679911350517,0.371270243634794,28130,3620
ten2,firm,own,wage,0.00117165491691294,0.00310866778336206,0.00430005654640462,0.00136846408422548,0.00507885898053674,0.0031980026053398,0.000119134971272528,0.00116731134773696,0.377675449054794,31829,4000
ten2,firm,own,emp,-0.00809721793152539,0.00927593626135703,0.00440446037256186,0.00415425782694524,-0.00141817722765228,0.00817189924225346,0.00168337268353664,0.00274570507582019,0.212365295562049,32000,4000
ten2,firm,firm,wage,0.000490292014777657,0.00130085656516918,0.00880673840828409,0.00280268528584411,0.00212530495659923,0.00133823971376099,0.000243994588432292,0.00239071406843162,0.0100482945121541,31829,4000
ten2,firm,firm,emp,-0.0033883707877072,0.00388161856608145,0.00902056284893227,0.00850813508326131,-0.00059345201408741,0.0034196220117447,0.003447634399123,0.00562334613233506,0.178450861516866,32000,4000
ten2,firm,sd,wage,0.000917721400404157,0.00243492423439409,0.0101186566607061,0.00322019444892255,0.0039781146383562,0.00250489746349662,0.000280341864712854,0.00274685288819571,0.0310884929558977,31829,4000
ten2,firm,sd,emp,-0.00634230273114567,0.00726555668648727,0.0103643340046079,0.00977557112965308,-0.00111081477369758,0.00640079831382625,0.00396122005208529,0.00646104223373813,0.162650691862925,32000,4000
ten2,g1,firm,wage,-0.000779288258728806,0.00272004850949018,0.0118188336387696,0.00476872780238521,0.00562266905261364,0.00324824820968732,0.00369249973476507,0.00410538918120144,0.0308922167630829,27852,3957
ten2,g1,firm,emp,-0.00412960152096501,0.00684118436459387,0.00408252825154079,0.0102619354923958,-0.0137003547447613,0.00789569155640933,0.0177320487628162,0.0107855680270003,0.527464068492566,27852,3957
ten2,g2,firm,wage,-0.000626831958727112,0.00135097737948081,0.00698647853395826,0.00345773520433272,0.00071054681412128,0.00174060482836033,0.00198391183512462,0.00405030238124974,0.0515418265234828,31279,4000
ten2,g2,firm,emp,0.00148822217979394,0.0041890916125077,0.020731794789906,0.0110738708473132,-0.000347913580964934,0.00481914922086187,-0.00648642707321124,0.00994017293310142,0.0992365333758636,31279,4000
