
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.treat_year#c.totaltreat_pw_n",="-0.931**",="",="-0.869**",="",="-0.509*",="",="-0.705**",="",="-1.330***",="",="-1.254***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.399)",="",="(0.386)",="",="(0.308)",="",="(0.317)",="",="(0.431)",="",="(0.414)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.am_lfe#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",=""

="1.am_lfe#c.totaltreat_pw_n",="8.241***",="5.865***",="8.107***",="5.883***",="9.529***",="5.361***",="7.693***",="5.128***",="8.641***",="5.865***",="8.567***",="5.883***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(1.882)",="(1.438)",="(1.864)",="(1.438)",="(1.911)",="(1.483)",="(1.753)",="(1.420)",="(1.771)",="(1.378)",="(1.766)",="(1.378)",="",="",="",="",="",="",="",="",="",="",="",=""

="0.am_lfe#0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.am_lfe#1.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.am_lfe#0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.am_lfe#1.treat_year#c.totaltreat_pw_n",="4.373***",="",="4.619***",="",="2.326***",="",="4.530***",="",="3.710***",="",="3.853***",="",="",="",="",="",="",="",="",="",="",="",="",=""
