
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.treat_year#c.totaltreat_pw_n",="-0.057",="",="-0.073",="",="0.387",="",="0.108",="",="-0.162",="",="-0.147",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.256)",="",="(0.256)",="",="(0.237)",="",="(0.226)",="",="(0.266)",="",="(0.259)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.am_tf_n#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",=""

="1.am_tf_n#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",=""

="0.am_tf_n#0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.am_tf_n#1.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.am_tf_n#0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.am_tf_n#1.treat_year#c.totaltreat_pw_n",="-0.465",="",="0.014",="",="-1.640***",="",="-1.128",="",="0.244",="",="0.531",="",="",="",="",="",="",="",="",="",="",="",="",=""
