
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.treat_year#c.totaltreat_pw_n",="0.036",="",="0.098",="",="-0.102",="",="-0.177",="",="0.300",="",="0.377",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.263)",="",="(0.263)",="",="(0.423)",="",="(0.382)",="",="(0.311)",="",="(0.314)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.am_tn_pre#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",=""

="1.am_tn_pre#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",=""

="0.am_tn_pre#0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.am_tn_pre#1.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.am_tn_pre#0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.am_tn_pre#1.treat_year#c.totaltreat_pw_n",="-0.729",="",="-0.480",="",="-0.268",="",="-0.026",="",="-1.161**",="",="-0.893*",="",="",="",="",="",="",="",="",="",="",="",="",=""
