
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.treat_year#c.totaltreat_pw_n",="0.183*",="",="0.200**",="",="0.227**",="",="0.280***",="",="0.159*",="",="0.152*",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.096)",="",="(0.096)",="",="(0.097)",="",="(0.103)",="",="(0.092)",="",="(0.091)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.am_lfe#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",="",="",="",="",="",="",="",="",="",=""

="1.am_lfe#c.totaltreat_pw_n",="-0.297",="-1.131***",="-0.278",="-1.123***",="-0.334",="-0.880**",="-0.306",="-0.852**",="-0.420*",="-1.131***",="-0.401*",="-1.123***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.273)",="(0.393)",="(0.271)",="(0.392)",="(0.259)",="(0.407)",="(0.282)",="(0.407)",="(0.241)",="(0.376)",="(0.240)",="(0.375)",="",="",="",="",="",="",="",="",="",="",="",=""

="0.am_lfe#0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.am_lfe#1.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.am_lfe#0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.am_lfe#1.treat_year#c.totaltreat_pw_n",="-0.265",="",="-0.295",="",="-0.257",="",="-0.214",="",="-0.040",="",="-0.076",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.263)",="",="(0.257)",="",="(0.214)",="",="(0.282)",="",="(0.170)",="",="(0.169)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.placebo_year#c.totaltreat_pw_n",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",=""

="1.placebo_year#c.totaltreat_pw_n",="",="0.003",="",="0.007",="",="-0.011",="",="-0.066",="",="0.003",="",="0.007",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.113)",="",="(0.112)",="",="(0.096)",="",="(0.107)",="",="(0.108)",="",="(0.107)",="",="",="",="",="",="",="",="",="",="",="",=""

="0.am_lfe#0.placebo_year#c.totaltreat_pw_n",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",=""

="0.am_lfe#1.placebo_year#c.totaltreat_pw_n",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",=""

="1.am_lfe#0.placebo_year#c.totaltreat_pw_n",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",=""

="1.am_lfe#1.placebo_year#c.totaltreat_pw_n",="",="-0.025",="",="-0.040",="",="-0.067",="",="-0.128",="",="-0.025",="",="-0.040",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.161)",="",="(0.157)",="",="(0.136)",="",="(0.173)",="",="(0.154)",="",="(0.151)",="",="",="",="",="",="",="",="",="",="",="",=""

="0.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="1.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="0.071**",="",="0.071**",="",="0.075**",="",="0.081**",="",="0.041",="",="0.042",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.032)",="",="(0.031)",="",="(0.031)",="",="(0.034)",="",="(0.031)",="",="(0.030)",=""

="0.am_lfe#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="-0.213**",="-0.624***",="-0.216**",="-0.616***",="-0.257***",="-0.547***",="-0.204*",="-0.541***",="-0.291***",="-0.624***",="-0.288***",="-0.616***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.103)",="(0.199)",="(0.102)",="(0.199)",="(0.093)",="(0.194)",="(0.108)",="(0.194)",="(0.088)",="(0.190)",="(0.088)",="(0.190)"

="0.am_lfe#0.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

