
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="1.treat_year#c.avg_ftreat_pf_n",="-0.187*",="-0.197*",="-0.193*",="-0.207*",="-0.334***",="-0.347***"
="",="(0.105)",="(0.104)",="(0.109)",="(0.118)",="(0.103)",="(0.103)"

="1.am_lfe#c.avg_ftreat_pf_n",="4.714***",="4.659***",="5.255***",="4.524***",="4.752***",="4.721***"
="",="(0.437)",="(0.434)",="(0.539)",="(0.509)",="(0.479)",="(0.476)"

="1.am_lfe#0.treat_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#1.treat_year#c.avg_ftreat_pf_n",="1.234***",="1.312***",="0.447**",="1.059***",="1.338***",="1.392***"
="",="(0.270)",="(0.268)",="(0.193)",="(0.301)",="(0.194)",="(0.194)"

="N",="32168",="32168",="32168",="32168",="32168",="32168"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
