
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="0.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.placebo_year#c.avg_ftreat_pf_n",="0.013",="0.013",="0.025",="-0.012",="0.013",="0.013"
="",="(0.069)",="(0.068)",="(0.060)",="(0.066)",="(0.066)",="(0.065)"

="0.am_lfe#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#c.avg_ftreat_pf_n",="3.892***",="3.883***",="3.953***",="3.817***",="3.892***",="3.883***"
="",="(0.569)",="(0.569)",="(0.541)",="(0.530)",="(0.544)",="(0.544)"

="0.am_lfe#0.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="0.am_lfe#1.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#0.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#1.placebo_year#c.avg_ftreat_pf_n",="0.021",="0.028",="-0.036",="-0.140",="0.021",="0.028"
="",="(0.130)",="(0.116)",="(0.091)",="(0.143)",="(0.125)",="(0.111)"

="N",="11959",="11959",="12063",="11537",="11959",="11959"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
