
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.placebo_year#c.totaltreat_pw_n",="0.152",="0.178",="0.136",="0.423**",="0.152",="0.178"
="",="(0.246)",="(0.246)",="(0.184)",="(0.211)",="(0.235)",="(0.235)"

="0.am_lfe#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#c.totaltreat_pw_n",="5.865***",="5.883***",="5.361***",="5.128***",="5.865***",="5.883***"
="",="(1.438)",="(1.438)",="(1.483)",="(1.420)",="(1.378)",="(1.378)"

="0.am_lfe#0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="0.am_lfe#1.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#1.placebo_year#c.totaltreat_pw_n",="0.075",="0.048",="0.174",="0.252",="0.075",="0.048"
="",="(0.437)",="(0.418)",="(0.350)",="(0.427)",="(0.419)",="(0.401)"

="N",="12469",="12469",="12579",="12053",="12469",="12469"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
