
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="1.treat_year#c.avg_ftreat_pf_n",="0.073",="0.045",="0.073",="0.095",="-0.015",="-0.049"
="",="(0.088)",="(0.088)",="(0.082)",="(0.081)",="(0.079)",="(0.080)"

="1.am_tf_n#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#0.treat_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#1.treat_year#c.avg_ftreat_pf_n",="0.198",="0.402*",="-0.559**",="-0.334",="0.325",="0.487**"
="",="(0.236)",="(0.228)",="(0.254)",="(0.380)",="(0.220)",="(0.219)"

="N",="32168",="32168",="32168",="32168",="32168",="32168"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
