
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.placebo_year#c.totaltreat_pw_n",="-0.173",="-0.156",="-0.301",="-0.265",="-0.173",="-0.156"
="",="(0.251)",="(0.251)",="(0.240)",="(0.204)",="(0.240)",="(0.240)"

="0.am_tn_pre#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="0.am_tn_pre#0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="0.am_tn_pre#1.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#1.placebo_year#c.totaltreat_pw_n",="0.061",="0.069",="0.242",="0.974***",="0.061",="0.069"
="",="(0.446)",="(0.446)",="(0.372)",="(0.368)",="(0.427)",="(0.427)"

="N",="12469",="12469",="12579",="12053",="12469",="12469"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
