
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="0.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.placebo_year#c.avg_ftreat_pf_n",="0.035",="0.037",="0.018",="0.027",="0.035",="0.037"
="",="(0.040)",="(0.040)",="(0.035)",="(0.039)",="(0.038)",="(0.038)"

="0.am_lfe#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#c.avg_ftreat_pf_n",="-0.624***",="-0.616***",="-0.547***",="-0.541***",="-0.624***",="-0.616***"
="",="(0.199)",="(0.199)",="(0.194)",="(0.194)",="(0.190)",="(0.190)"

="0.am_lfe#0.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="0.am_lfe#1.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#0.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#1.placebo_year#c.avg_ftreat_pf_n",="-0.007",="-0.019",="0.004",="-0.009",="-0.007",="-0.019"
="",="(0.054)",="(0.052)",="(0.044)",="(0.061)",="(0.052)",="(0.049)"

="N",="11930",="11930",="12035",="11509",="11930",="11930"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
