
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="1.treat_year#c.avg_ftreat_pf_n",="0.083***",="0.082***",="0.073**",="0.082**",="0.045",="0.048*"
="",="(0.030)",="(0.029)",="(0.033)",="(0.036)",="(0.029)",="(0.029)"

="1.am_tf_n#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#0.treat_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#1.treat_year#c.avg_ftreat_pf_n",="-0.238***",="-0.225***",="-0.152***",="-0.241***",="-0.100*",="-0.112*"
="",="(0.067)",="(0.064)",="(0.053)",="(0.072)",="(0.060)",="(0.059)"

="N",="31986",="31986",="31986",="31986",="31986",="31986"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
