
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="1.treat_year#c.totaltreat_pw_n",="0.285***",="0.304***",="0.280***",="0.343***",="0.234**",="0.235**"
="",="(0.103)",="(0.105)",="(0.102)",="(0.112)",="(0.098)",="(0.097)"

="1.am_tf_n#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#0.treat_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#1.treat_year#c.totaltreat_pw_n",="-0.472**",="-0.488**",="-0.288*",="-0.338*",="-0.195",="-0.236"
="",="(0.197)",="(0.193)",="(0.155)",="(0.180)",="(0.152)",="(0.151)"

="N",="33349",="33349",="33349",="33349",="33349",="33349"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
