
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="1.treat_year#c.avg_ftreat_pf_n",="0.032",="0.030",="0.048",="0.067*",="0.006",="0.008"
="",="(0.037)",="(0.037)",="(0.035)",="(0.037)",="(0.033)",="(0.033)"

="1.am_tn_pre#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#0.treat_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#1.treat_year#c.avg_ftreat_pf_n",="0.036",="0.041",="-0.009",="-0.043",="0.047",="0.042"
="",="(0.049)",="(0.049)",="(0.054)",="(0.062)",="(0.048)",="(0.048)"

="N",="31986",="31986",="31986",="31986",="31986",="31986"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
