
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="0.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.placebo_year#c.avg_ftreat_pf_n",="0.049",="0.050",="0.043",="0.054",="0.049",="0.050"
="",="(0.041)",="(0.041)",="(0.034)",="(0.038)",="(0.039)",="(0.039)"

="0.am_tn_pre#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="0.am_tn_pre#0.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="0.am_tn_pre#1.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#0.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#1.placebo_year#c.avg_ftreat_pf_n",="-0.037",="-0.039",="-0.054",="-0.069",="-0.037",="-0.039"
="",="(0.055)",="(0.055)",="(0.049)",="(0.059)",="(0.052)",="(0.053)"

="N",="11930",="11930",="12035",="11509",="11930",="11930"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
