
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="1.treat_year#c.totaltreat_pw_n",="0.071",="0.080",="0.089",="0.147*",="0.067",="0.056"
="",="(0.095)",="(0.095)",="(0.081)",="(0.084)",="(0.080)",="(0.080)"

="1.am_tn_pre#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#0.treat_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#1.treat_year#c.totaltreat_pw_n",="0.202",="0.202",="0.249",="0.328*",="0.260",="0.224"
="",="(0.189)",="(0.187)",="(0.170)",="(0.180)",="(0.166)",="(0.164)"

="N",="33349",="33349",="33349",="33349",="33349",="33349"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
