
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.placebo_year#c.totaltreat_pw_n",="0.086",="0.085",="0.075",="0.047",="0.086",="0.085"
="",="(0.106)",="(0.106)",="(0.088)",="(0.093)",="(0.101)",="(0.101)"

="0.am_tn_pre#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="0.am_tn_pre#0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="0.am_tn_pre#1.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#1.placebo_year#c.totaltreat_pw_n",="-0.080",="-0.084",="-0.116",="-0.234",="-0.080",="-0.084"
="",="(0.159)",="(0.159)",="(0.148)",="(0.160)",="(0.152)",="(0.152)"

="N",="12437",="12437",="12548",="12022",="12437",="12437"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
