
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="1.treat_year#c.avg_ftreat_pf_n",="0.049*",="0.049*",="0.062**",="0.067**",="0.045",="0.047*"
="",="(0.027)",="(0.027)",="(0.030)",="(0.031)",="(0.028)",="(0.028)"

="1.am_lfe#c.avg_ftreat_pf_n",="-0.150",="-0.152",="-0.204**",="-0.150",="-0.244***",="-0.239***"
="",="(0.096)",="(0.095)",="(0.087)",="(0.099)",="(0.083)",="(0.083)"

="1.am_lfe#0.treat_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#1.treat_year#c.avg_ftreat_pf_n",="-0.150**",="-0.147**",="-0.124**",="-0.156**",="-0.074",="-0.082*"
="",="(0.060)",="(0.059)",="(0.048)",="(0.071)",="(0.049)",="(0.048)"

="N",="32043",="32043",="32043",="32043",="32043",="32043"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
