
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="0.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.placebo_year#c.avg_ftreat_pf_n",="0.032",="0.038",="0.011",="0.013",="0.032",="0.038"
="",="(0.026)",="(0.026)",="(0.023)",="(0.026)",="(0.025)",="(0.025)"

="0.am_lfe#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#c.avg_ftreat_pf_n",="-0.376*",="-0.361*",="-0.327*",="-0.326*",="-0.376*",="-0.361*"
="",="(0.209)",="(0.209)",="(0.189)",="(0.189)",="(0.200)",="(0.200)"

="0.am_lfe#0.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="0.am_lfe#1.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#0.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#1.placebo_year#c.avg_ftreat_pf_n",="-0.034",="-0.062",="-0.049",="-0.022",="-0.034",="-0.062*"
="",="(0.041)",="(0.038)",="(0.031)",="(0.045)",="(0.039)",="(0.036)"

="N",="11943",="11943",="12048",="11523",="11943",="11943"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
