
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="1.treat_year#c.totaltreat_pw_n",="0.141*",="0.160*",="0.189**",="0.220**",="0.135",="0.128"
="",="(0.082)",="(0.083)",="(0.087)",="(0.091)",="(0.084)",="(0.084)"

="1.am_lfe#c.totaltreat_pw_n",="-0.049",="-0.027",="-0.138",="-0.090",="-0.250",="-0.226"
="",="(0.200)",="(0.199)",="(0.203)",="(0.201)",="(0.185)",="(0.185)"

="1.am_lfe#0.treat_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#1.treat_year#c.totaltreat_pw_n",="-0.359*",="-0.396**",="-0.277",="-0.279",="-0.050",="-0.096"
="",="(0.205)",="(0.201)",="(0.174)",="(0.227)",="(0.150)",="(0.150)"

="N",="33410",="33410",="33410",="33410",="33410",="33410"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
