
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="1.treat_year#c.avg_ftreat_pf_n",="0.006",="0.005",="0.031",="0.050",="0.007",="0.009"
="",="(0.032)",="(0.032)",="(0.033)",="(0.034)",="(0.031)",="(0.031)"

="1.am_tn_pre#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#0.treat_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#1.treat_year#c.avg_ftreat_pf_n",="0.036",="0.041",="0.003",="-0.034",="0.046",="0.040"
="",="(0.044)",="(0.043)",="(0.050)",="(0.057)",="(0.045)",="(0.045)"

="N",="32043",="32043",="32043",="32043",="32043",="32043"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
