
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.treat_year#c.totaltreat_pw_n",="0.207",="",="0.151",="",="-0.477",="",="-0.399",="",="-0.287",="",="-0.456",="",="0.326",="",="0.195",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.321)",="",="(0.324)",="",="(0.534)",="",="(0.561)",="",="(0.531)",="",="(0.541)",="",="(0.302)",="",="(0.322)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.placebo_year#c.totaltreat_pw_n",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.placebo_year#c.totaltreat_pw_n",="",="0.171",="",="0.132",="",="-0.960**",="",="-1.178**",="",="0.537*",="",="0.507*",="",="-0.626**",="",="-0.677**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.193)",="",="(0.193)",="",="(0.413)",="",="(0.525)",="",="(0.307)",="",="(0.306)",="",="(0.311)",="",="(0.329)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="1.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.029",="",="-0.043",="",="0.018",="",="0.053",="",="-0.054",="",="-0.071",="",="0.084",="",="0.069",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.129)",="",="(0.129)",="",="(0.095)",="",="(0.109)",="",="(0.180)",="",="(0.180)",="",="(0.096)",="",="(0.100)",=""

="0.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="1.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.117",="",="0.109",="",="-0.170**",="",="-0.198*",="",="0.170",="",="0.170",="",="-0.131*",="",="-0.120"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.072)",="",="(0.073)",="",="(0.085)",="",="(0.108)",="",="(0.113)",="",="(0.114)",="",="(0.078)",="",="(0.082)"

="N",="24816",="9196",="24816",="9196",="8728",="3139",="8728",="3139",="17968",="6624",="17968",="6624",="15576",="5713",="15576",="5713",="24696",="9151",="24696",="9151",="7472",="2661",="7472",="2661",="17968",="6624",="17968",="6624",="14200",="5195",="14200",="5195"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
