
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.treat_year#c.totaltreat_pw_n",="0.082",="",="0.066",="",="0.525**",="",="0.484*",="",="0.100",="",="0.079",="",="0.265**",="",="0.269**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.076)",="",="(0.076)",="",="(0.259)",="",="(0.265)",="",="(0.123)",="",="(0.125)",="",="(0.127)",="",="(0.128)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.placebo_year#c.totaltreat_pw_n",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.placebo_year#c.totaltreat_pw_n",="",="0.115",="",="0.108",="",="-0.064",="",="0.041",="",="0.023",="",="0.040",="",="0.100",="",="0.103",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.072)",="",="(0.072)",="",="(0.230)",="",="(0.251)",="",="(0.114)",="",="(0.115)",="",="(0.139)",="",="(0.138)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="1.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.020",="",="0.017",="",="0.089*",="",="0.076",="",="0.003",="",="0.002",="",="0.044",="",="0.046",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.033)",="",="(0.034)",="",="(0.048)",="",="(0.050)",="",="(0.043)",="",="(0.044)",="",="(0.035)",="",="(0.035)",=""

="0.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="1.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.023",="",="0.022",="",="0.027",="",="0.036",="",="0.026",="",="0.027",="",="0.045",="",="0.045"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.027)",="",="(0.027)",="",="(0.061)",="",="(0.066)",="",="(0.034)",="",="(0.034)",="",="(0.045)",="",="(0.045)"

="N",="24676",="9169",="24676",="9169",="8673",="3134",="8673",="3134",="17865",="6601",="17865",="6601",="15484",="5703",="15484",="5703",="24556",="9124",="24556",="9124",="7430",="2658",="7430",="2658",="17865",="6601",="17865",="6601",="14121",="5188",="14121",="5188"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
