
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.treat_year#c.totaltreat_pw_n",="0.071",="",="0.058",="",="0.395*",="",="0.368",="",="0.083",="",="0.074",="",="0.184",="",="0.190",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.074)",="",="(0.074)",="",="(0.235)",="",="(0.246)",="",="(0.112)",="",="(0.111)",="",="(0.115)",="",="(0.117)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.placebo_year#c.totaltreat_pw_n",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.placebo_year#c.totaltreat_pw_n",="",="0.088*",="",="0.076",="",="0.077",="",="0.153",="",="-0.008",="",="-0.003",="",="0.158",="",="0.171",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.052)",="",="(0.052)",="",="(0.180)",="",="(0.205)",="",="(0.076)",="",="(0.076)",="",="(0.117)",="",="(0.118)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="1.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.012",="",="0.010",="",="0.053",="",="0.040",="",="0.007",="",="0.007",="",="0.014",="",="0.015",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.031)",="",="(0.031)",="",="(0.037)",="",="(0.041)",="",="(0.041)",="",="(0.041)",="",="(0.030)",="",="(0.031)",=""

="0.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="1.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.023",="",="0.021",="",="0.058",="",="0.067",="",="0.011",="",="0.010",="",="0.053*",="",="0.052"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.022)",="",="(0.022)",="",="(0.040)",="",="(0.044)",="",="(0.028)",="",="(0.028)",="",="(0.032)",="",="(0.032)"

="N",="24716",="9182",="24716",="9182",="8694",="3134",="8694",="3134",="17894",="6611",="17894",="6611",="15516",="5707",="15516",="5707",="24596",="9137",="24596",="9137",="7447",="2658",="7447",="2658",="17894",="6611",="17894",="6611",="14149",="5192",="14149",="5192"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
