
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",=""

="1.treat_year#c.totaltreat_pw_n",="-0.004",="",="-0.685",="",="0.050",="",="-0.108",="",="",="",="",="",="",="",="",=""
="",="(0.321)",="",="(0.598)",="",="(0.454)",="",="(0.283)",="",="",="",="",="",="",="",="",=""

="0.placebo_year#c.totaltreat_pw_n",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",=""
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",=""

="1.placebo_year#c.totaltreat_pw_n",="",="0.098",="",="-0.591*",="",="0.174",="",="-0.346",="",="",="",="",="",="",="",=""
="",="",="(0.213)",="",="(0.321)",="",="(0.310)",="",="(0.216)",="",="",="",="",="",="",="",=""

="0.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="1.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="0.006",="",="0.095",="",="0.227",="",="0.045",=""
="",="",="",="",="",="",="",="",="",="(0.159)",="",="(0.101)",="",="(0.227)",="",="(0.084)",=""

="0.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="1.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="0.099",="",="-0.129*",="",="0.036",="",="-0.085"
="",="",="",="",="",="",="",="",="",="",="(0.111)",="",="(0.066)",="",="(0.142)",="",="(0.056)"

="N",="23968",="8886",="9576",="3449",="15960",="5867",="17584",="6463",="23968",="8886",="8200",="2932",="15960",="5867",="16208",="5951"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
