
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",=""

="1.treat_year#c.totaltreat_pw_n",="0.089",="",="0.628**",="",="0.065",="",="0.349***",="",="",="",="",="",="",="",="",=""
="",="(0.080)",="",="(0.291)",="",="(0.131)",="",="(0.120)",="",="",="",="",="",="",="",="",=""

="0.placebo_year#c.totaltreat_pw_n",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",=""
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",=""

="1.placebo_year#c.totaltreat_pw_n",="",="0.115",="",="-0.303",="",="0.068",="",="-0.028",="",="",="",="",="",="",="",=""
="",="",="(0.078)",="",="(0.195)",="",="(0.123)",="",="(0.114)",="",="",="",="",="",="",="",=""

="0.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="1.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="0.007",="",="0.099***",="",="-0.025",="",="0.057*",=""
="",="",="",="",="",="",="",="",="",="(0.043)",="",="(0.038)",="",="(0.059)",="",="(0.030)",=""

="0.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="1.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="0.060",="",="0.007",="",="0.049",="",="0.031"
="",="",="",="",="",="",="",="",="",="",="(0.040)",="",="(0.045)",="",="(0.054)",="",="(0.038)"

="N",="23827",="8863",="9522",="3439",="15880",="5851",="17469",="6446",="23827",="8863",="8159",="2925",="15880",="5851",="16106",="5937"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
