
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",=""

="1.treat_year#c.totaltreat_pw_n",="0.042",="",="0.526*",="",="0.034",="",="0.303***",="",="",="",="",="",="",="",="",=""
="",="(0.078)",="",="(0.276)",="",="(0.122)",="",="(0.110)",="",="",="",="",="",="",="",="",=""

="0.placebo_year#c.totaltreat_pw_n",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",=""
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",=""

="1.placebo_year#c.totaltreat_pw_n",="",="0.048",="",="-0.193",="",="-0.005",="",="-0.017",="",="",="",="",="",="",="",=""
="",="",="(0.064)",="",="(0.147)",="",="(0.086)",="",="(0.101)",="",="",="",="",="",="",="",=""

="0.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="1.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="-0.008",="",="0.058*",="",="-0.032",="",="0.051*",=""
="",="",="",="",="",="",="",="",="",="(0.042)",="",="(0.032)",="",="(0.056)",="",="(0.028)",=""

="0.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="1.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="0.024",="",="0.029",="",="0.010",="",="0.021"
="",="",="",="",="",="",="",="",="",="",="(0.034)",="",="(0.027)",="",="(0.044)",="",="(0.025)"

="N",="23870",="8873",="9540",="3443",="15901",="5857",="17509",="6454",="23870",="8873",="8173",="2929",="15901",="5857",="16142",="5945"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
