
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.treat_year#c.totaltreat_pw_n",="-0.137",="",="-0.240",="",="-0.429",="",="-0.537",="",="0.275",="",="0.153",="",="-0.092",="",="-0.257",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.313)",="",="(0.321)",="",="(0.465)",="",="(0.501)",="",="(0.837)",="",="(0.821)",="",="(0.248)",="",="(0.272)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.placebo_year#c.totaltreat_pw_n",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.placebo_year#c.totaltreat_pw_n",="",="0.043",="",="0.015",="",="-0.552",="",="-0.589",="",="0.256",="",="0.176",="",="-0.195",="",="-0.222",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.253)",="",="(0.247)",="",="(0.373)",="",="(0.384)",="",="(0.737)",="",="(0.728)",="",="(0.231)",="",="(0.233)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="1.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.070",="",="-0.107",="",="0.021",="",="-0.016",="",="0.002",="",="-0.005",="",="0.086",="",="0.063",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.177)",="",="(0.177)",="",="(0.101)",="",="(0.102)",="",="(0.284)",="",="(0.283)",="",="(0.100)",="",="(0.101)",=""

="0.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="1.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.050",="",="-0.068",="",="-0.161*",="",="-0.134",="",="0.075",="",="0.049",="",="-0.148**",="",="-0.129*"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.114)",="",="(0.112)",="",="(0.092)",="",="(0.089)",="",="(0.197)",="",="(0.197)",="",="(0.075)",="",="(0.073)"

="N",="24816",="8741",="24816",="8741",="8728",="2984",="8728",="2986",="17968",="6142",="17968",="6142",="15576",="5458",="15576",="5458",="24696",="8695",="24696",="8695",="7472",="2512",="7472",="2514",="17968",="6142",="17968",="6142",="14200",="4945",="14200",="4945"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
