
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.treat_year#c.totaltreat_pw_n",="-0.096",="",="-0.106",="",="0.587**",="",="0.598**",="",="-0.485**",="",="-0.486**",="",="0.372***",="",="0.401***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.112)",="",="(0.113)",="",="(0.235)",="",="(0.236)",="",="(0.222)",="",="(0.216)",="",="(0.126)",="",="(0.131)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.placebo_year#c.totaltreat_pw_n",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.placebo_year#c.totaltreat_pw_n",="",="0.048",="",="0.039",="",="-0.413*",="",="-0.345",="",="-0.250",="",="-0.216",="",="-0.153",="",="-0.144",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.084)",="",="(0.086)",="",="(0.245)",="",="(0.215)",="",="(0.243)",="",="(0.239)",="",="(0.121)",="",="(0.120)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="1.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.048",="",="-0.050",="",="0.155***",="",="0.153***",="",="-0.056",="",="-0.056",="",="0.122***",="",="0.123***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.044)",="",="(0.045)",="",="(0.048)",="",="(0.048)",="",="(0.072)",="",="(0.071)",="",="(0.036)",="",="(0.036)",=""

="0.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="1.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.037",="",="-0.038",="",="-0.045",="",="-0.050",="",="-0.104*",="",="-0.098",="",="-0.025",="",="-0.022"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.037)",="",="(0.038)",="",="(0.060)",="",="(0.060)",="",="(0.061)",="",="(0.060)",="",="(0.046)",="",="(0.046)"

="N",="24675",="8711",="24675",="8711",="8672",="2980",="8672",="2982",="17865",="6114",="17865",="6114",="15483",="5447",="15483",="5447",="24555",="8665",="24555",="8665",="7429",="2510",="7429",="2512",="17865",="6114",="17865",="6114",="14120",="4938",="14120",="4938"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
