
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.treat_year#c.totaltreat_pw_n",="-0.125",="",="-0.129",="",="0.460**",="",="0.489**",="",="-0.511***",="",="-0.499***",="",="0.330***",="",="0.366***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.117)",="",="(0.116)",="",="(0.201)",="",="(0.212)",="",="(0.183)",="",="(0.178)",="",="(0.104)",="",="(0.110)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.placebo_year#c.totaltreat_pw_n",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="1.placebo_year#c.totaltreat_pw_n",="",="0.087",="",="0.073",="",="-0.113",="",="-0.079",="",="-0.237",="",="-0.226",="",="-0.021",="",="-0.003",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.067)",="",="(0.070)",="",="(0.134)",="",="(0.131)",="",="(0.190)",="",="(0.188)",="",="(0.092)",="",="(0.091)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="0.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="1.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.069*",="",="-0.070*",="",="0.102***",="",="0.102***",="",="-0.085",="",="-0.083",="",="0.085***",="",="0.085***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.041)",="",="(0.041)",="",="(0.039)",="",="(0.039)",="",="(0.064)",="",="(0.064)",="",="(0.030)",="",="(0.030)",=""

="0.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="1.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.001",="",="-0.002",="",="0.010",="",="0.007",="",="-0.078",="",="-0.078",="",="0.025",="",="0.025"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.032)",="",="(0.033)",="",="(0.034)",="",="(0.034)",="",="(0.051)",="",="(0.051)",="",="(0.028)",="",="(0.028)"

="N",="24715",="8728",="24715",="8728",="8693",="2980",="8693",="2982",="17894",="6130",="17894",="6130",="15515",="5451",="15515",="5451",="24595",="8682",="24595",="8682",="7446",="2510",="7446",="2512",="17894",="6130",="17894",="6130",="14148",="4942",="14148",="4942"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
