
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",=""

="1.treat_year#c.totaltreat_pw_n",="-0.394",="",="-0.256",="",="-0.298",="",="-0.097",="",="",="",="",="",="",="",="",=""
="",="(0.328)",="",="(0.484)",="",="(0.779)",="",="(0.282)",="",="",="",="",="",="",="",="",=""

="0.placebo_year#c.totaltreat_pw_n",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",=""
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",=""

="1.placebo_year#c.totaltreat_pw_n",="",="0.092",="",="-0.512",="",="-0.049",="",="-0.212",="",="",="",="",="",="",="",=""
="",="",="(0.259)",="",="(0.375)",="",="(0.612)",="",="(0.211)",="",="",="",="",="",="",="",=""

="0.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="1.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="-0.090",="",="0.183*",="",="0.093",="",="0.154",=""
="",="",="",="",="",="",="",="",="",="(0.200)",="",="(0.111)",="",="(0.326)",="",="(0.094)",=""

="0.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="1.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="-0.023",="",="-0.177**",="",="-0.283",="",="-0.177***"
="",="",="",="",="",="",="",="",="",="",="(0.141)",="",="(0.083)",="",="(0.267)",="",="(0.068)"

="N",="23968",="8434",="9576",="3270",="15960",="5425",="17584",="6182",="23968",="8434",="8200",="2758",="15960",="5425",="16208",="5672"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
