
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",=""

="1.treat_year#c.totaltreat_pw_n",="-0.095",="",="0.893***",="",="-0.403*",="",="0.397***",="",="",="",="",="",="",="",="",=""
="",="(0.114)",="",="(0.323)",="",="(0.216)",="",="(0.139)",="",="",="",="",="",="",="",="",=""

="0.placebo_year#c.totaltreat_pw_n",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",=""
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",=""

="1.placebo_year#c.totaltreat_pw_n",="",="0.069",="",="-0.394*",="",="-0.190",="",="-0.144",="",="",="",="",="",="",="",=""
="",="",="(0.088)",="",="(0.235)",="",="(0.223)",="",="(0.115)",="",="",="",="",="",="",="",=""

="0.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="1.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="-0.088*",="",="0.167***",="",="-0.148*",="",="0.114***",=""
="",="",="",="",="",="",="",="",="",="(0.052)",="",="(0.041)",="",="(0.078)",="",="(0.033)",=""

="0.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="1.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="-0.002",="",="-0.022",="",="-0.097",="",="-0.014"
="",="",="",="",="",="",="",="",="",="",="(0.049)",="",="(0.052)",="",="(0.086)",="",="(0.042)"

="N",="23827",="8409",="9522",="3261",="15879",="5408",="17468",="6163",="23827",="8409",="8159",="2751",="15879",="5408",="16105",="5657"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
