
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="0.treat_year#c.totaltreat_pw_n",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",="",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",="",=""

="1.treat_year#c.totaltreat_pw_n",="-0.140",="",="0.739**",="",="-0.455**",="",="0.345***",="",="",="",="",="",="",="",="",=""
="",="(0.117)",="",="(0.294)",="",="(0.178)",="",="(0.119)",="",="",="",="",="",="",="",="",=""

="0.placebo_year#c.totaltreat_pw_n",="",="0.000",="",="0.000",="",="0.000",="",="0.000",="",="",="",="",="",="",="",=""
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",="",="",="",="",="",="",="",=""

="1.placebo_year#c.totaltreat_pw_n",="",="0.096",="",="-0.222",="",="-0.205",="",="-0.007",="",="",="",="",="",="",="",=""
="",="",="(0.074)",="",="(0.172)",="",="(0.181)",="",="(0.091)",="",="",="",="",="",="",="",=""

="0.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""

="1.treat_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="-0.116**",="",="0.115***",="",="-0.153**",="",="0.067**",=""
="",="",="",="",="",="",="",="",="",="(0.050)",="",="(0.035)",="",="(0.071)",="",="(0.029)",=""

="0.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="",="",="",="",="",="",="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"

="1.placebo_year#c.avg_ftreat_pf_n",="",="",="",="",="",="",="",="",="",="0.009",="",="0.014",="",="-0.069",="",="0.043"
="",="",="",="",="",="",="",="",="",="",="(0.044)",="",="(0.028)",="",="(0.075)",="",="(0.027)"

="N",="23870",="8422",="9540",="3264",="15900",="5416",="17508",="6173",="23870",="8422",="8173",="2754",="15900",="5416",="16141",="5667"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
