
="",="(1)",="(2)",="(3)"
="",="l_firm_emp",="lr_remdezr",="lr_remmedr"

="0.treat_ultra",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="1.treat_ultra",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="0.treat_year",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="1.treat_year",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="0.treat_ultra#0.treat_year",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="0.treat_ultra#1.treat_year",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="1.treat_ultra#0.treat_year",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"

="1.treat_ultra#1.treat_year",="-0.008",="0.019***",="0.020***"
="",="(0.011)",="(0.003)",="(0.003)"

="_cons",="3.489***",="7.803***",="7.750***"
="",="(0.005)",="(0.002)",="(0.001)"

="N",="130376",="129879",="130051"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
