
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="1.treat_ultra#2009.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.009**",="0.009*",="0.010*",="0.010*",="0.010*"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.004)",="(0.005)",="(0.005)",="(0.005)",="(0.005)"

="1.treat_ultra#2010.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.010***",="0.006",="0.006",="0.006",="0.006"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="1.treat_ultra#2011.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.treat_ultra#2012.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.015***",="0.012***",="0.012***",="0.013***",="0.013***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="1.treat_ultra#2013.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.013***",="0.011**",="0.011**",="0.011**",="0.011**"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.004)",="(0.005)",="(0.005)",="(0.005)",="(0.005)"

="1.treat_ultra#2014.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.021***",="0.016***",="0.016***",="0.016***",="0.016***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.004)",="(0.006)",="(0.006)",="(0.006)",="(0.006)"

="1.treat_ultra#2015.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.019***",="0.013*",="0.013**",="0.013**",="0.013**"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.005)",="(0.007)",="(0.007)",="(0.007)",="(0.007)"

="1.treat_ultra#2016.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.022***",="0.014**",="0.015**",="0.015**",="0.015**"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.006)",="(0.007)",="(0.007)",="(0.007)",="(0.007)"

="N",="29056",="25280",="25280",="25280",="25280",="30167",="26415",="26415",="26415",="26415",="21396",="17666",="17666",="17666",="17666",="90966",="86127",="86127",="86111",="86111"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
