
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="1.treat_year#c.totaltreat_pw_n",="-0.931**",="-0.869**",="-0.509*",="-0.705**",="-1.330***",="-1.254***"
="",="(0.399)",="(0.386)",="(0.308)",="(0.317)",="(0.431)",="(0.414)"

="1.am_lfe#c.totaltreat_pw_n",="8.241***",="8.107***",="9.529***",="7.693***",="8.641***",="8.567***"
="",="(1.882)",="(1.864)",="(1.911)",="(1.753)",="(1.771)",="(1.766)"

="1.am_lfe#0.treat_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#1.treat_year#c.totaltreat_pw_n",="4.373***",="4.619***",="2.326***",="4.530***",="3.710***",="3.853***"
="",="(1.274)",="(1.265)",="(0.877)",="(1.416)",="(0.811)",="(0.809)"

="N",="33544",="33544",="33544",="33544",="33544",="33544"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
