
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="0.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.placebo_year#c.avg_ftreat_pf_n",="-0.010",="-0.009",="-0.004",="-0.082",="-0.010",="-0.009"
="",="(0.062)",="(0.062)",="(0.053)",="(0.060)",="(0.060)",="(0.060)"

="0.am_tf_n#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="0.am_tf_n#0.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="0.am_tf_n#1.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#0.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#1.placebo_year#c.avg_ftreat_pf_n",="0.054",="0.052",="-0.025",="0.044",="0.054",="0.052"
="",="(0.182)",="(0.157)",="(0.123)",="(0.178)",="(0.174)",="(0.150)"

="N",="11959",="11959",="12063",="11537",="11959",="11959"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
