
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="1.treat_year#c.totaltreat_pw_n",="-0.057",="-0.073",="0.387",="0.108",="-0.162",="-0.147"
="",="(0.256)",="(0.256)",="(0.237)",="(0.226)",="(0.266)",="(0.259)"

="1.am_tf_n#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#0.treat_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#1.treat_year#c.totaltreat_pw_n",="-0.465",="0.014",="-1.640***",="-1.128",="0.244",="0.531"
="",="(0.556)",="(0.549)",="(0.622)",="(0.744)",="(0.527)",="(0.523)"

="N",="33544",="33544",="33544",="33544",="33544",="33544"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
