
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.placebo_year#c.totaltreat_pw_n",="-0.319",="-0.284",="-0.248",="0.036",="-0.319",="-0.284"
="",="(0.254)",="(0.253)",="(0.189)",="(0.204)",="(0.243)",="(0.242)"

="0.am_tf_n#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="0.am_tf_n#0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="0.am_tf_n#1.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#1.placebo_year#c.totaltreat_pw_n",="0.359",="0.319",="0.055",="0.008",="0.359",="0.319"
="",="(0.402)",="(0.393)",="(0.356)",="(0.353)",="(0.385)",="(0.376)"

="N",="12469",="12469",="12579",="12053",="12469",="12469"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
