
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="1.treat_year#c.avg_ftreat_pf_n",="0.168*",="0.156*",="-0.028",="0.036",="0.150*",="0.129"
="",="(0.094)",="(0.093)",="(0.108)",="(0.100)",="(0.087)",="(0.086)"

="1.am_tn_pre#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#0.treat_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#1.treat_year#c.avg_ftreat_pf_n",="-0.178",="-0.126",="-0.016",="0.059",="-0.257",="-0.193"
="",="(0.160)",="(0.159)",="(0.174)",="(0.175)",="(0.161)",="(0.162)"

="N",="32168",="32168",="32168",="32168",="32168",="32168"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
