
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp",="l_firm_emp"

="1.treat_year#c.totaltreat_pw_n",="0.036",="0.098",="-0.102",="-0.177",="0.300",="0.377"
="",="(0.263)",="(0.263)",="(0.423)",="(0.382)",="(0.311)",="(0.314)"

="1.am_tn_pre#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#0.treat_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tn_pre#1.treat_year#c.totaltreat_pw_n",="-0.729",="-0.480",="-0.268",="-0.026",="-1.161**",="-0.893*"
="",="(0.504)",="(0.503)",="(0.540)",="(0.513)",="(0.509)",="(0.506)"

="N",="33544",="33544",="33544",="33544",="33544",="33544"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
