
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="1.treat_year#c.avg_ftreat_pf_n",="0.071**",="0.071**",="0.075**",="0.081**",="0.041",="0.042"
="",="(0.032)",="(0.031)",="(0.031)",="(0.034)",="(0.031)",="(0.030)"

="1.am_lfe#c.avg_ftreat_pf_n",="-0.213**",="-0.216**",="-0.257***",="-0.204*",="-0.291***",="-0.288***"
="",="(0.103)",="(0.102)",="(0.093)",="(0.108)",="(0.088)",="(0.088)"

="1.am_lfe#0.treat_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#1.treat_year#c.avg_ftreat_pf_n",="-0.127*",="-0.122*",="-0.121**",="-0.147*",="-0.060",="-0.066"
="",="(0.067)",="(0.066)",="(0.053)",="(0.079)",="(0.053)",="(0.052)"

="N",="31986",="31986",="31986",="31986",="31986",="31986"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
