
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="1.treat_year#c.totaltreat_pw_n",="0.183*",="0.200**",="0.227**",="0.280***",="0.159*",="0.152*"
="",="(0.096)",="(0.096)",="(0.097)",="(0.103)",="(0.092)",="(0.091)"

="1.am_lfe#c.totaltreat_pw_n",="-0.297",="-0.278",="-0.334",="-0.306",="-0.420*",="-0.401*"
="",="(0.273)",="(0.271)",="(0.259)",="(0.282)",="(0.241)",="(0.240)"

="1.am_lfe#0.treat_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#1.treat_year#c.totaltreat_pw_n",="-0.265",="-0.295",="-0.257",="-0.214",="-0.040",="-0.076"
="",="(0.263)",="(0.257)",="(0.214)",="(0.282)",="(0.170)",="(0.169)"

="N",="33349",="33349",="33349",="33349",="33349",="33349"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
