
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.placebo_year#c.totaltreat_pw_n",="0.003",="0.007",="-0.011",="-0.066",="0.003",="0.007"
="",="(0.113)",="(0.112)",="(0.096)",="(0.107)",="(0.108)",="(0.107)"

="0.am_lfe#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#c.totaltreat_pw_n",="-1.131***",="-1.123***",="-0.880**",="-0.852**",="-1.131***",="-1.123***"
="",="(0.393)",="(0.392)",="(0.407)",="(0.407)",="(0.376)",="(0.375)"

="0.am_lfe#0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="0.am_lfe#1.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#1.placebo_year#c.totaltreat_pw_n",="-0.025",="-0.040",="-0.067",="-0.128",="-0.025",="-0.040"
="",="(0.161)",="(0.157)",="(0.136)",="(0.173)",="(0.154)",="(0.151)"

="N",="12437",="12437",="12548",="12022",="12437",="12437"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
