
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.placebo_year#c.totaltreat_pw_n",="0.039",="0.065",="0.031",="-0.076",="0.039",="0.065"
="",="(0.092)",="(0.092)",="(0.086)",="(0.092)",="(0.089)",="(0.088)"

="0.am_lfe#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#c.totaltreat_pw_n",="-0.497",="-0.452",="-0.419",="-0.444*",="-0.497",="-0.452"
="",="(0.332)",="(0.332)",="(0.274)",="(0.259)",="(0.318)",="(0.318)"

="0.am_lfe#0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="0.am_lfe#1.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_lfe#1.placebo_year#c.totaltreat_pw_n",="-0.042",="-0.119",="-0.095",="-0.023",="-0.042",="-0.119"
="",="(0.129)",="(0.127)",="(0.111)",="(0.139)",="(0.124)",="(0.121)"

="N",="12450",="12450",="12561",="12036",="12450",="12450"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
