
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="1.treat_year#c.avg_ftreat_pf_n",="0.055**",="0.054**",="0.059*",="0.065**",="0.047*",="0.051*"
="",="(0.025)",="(0.025)",="(0.031)",="(0.033)",="(0.027)",="(0.026)"

="1.am_tf_n#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#0.treat_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#1.treat_year#c.avg_ftreat_pf_n",="-0.223***",="-0.212***",="-0.146***",="-0.222***",="-0.109*",="-0.126**"
="",="(0.061)",="(0.058)",="(0.049)",="(0.064)",="(0.057)",="(0.056)"

="N",="32043",="32043",="32043",="32043",="32043",="32043"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
