
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="0.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.placebo_year#c.avg_ftreat_pf_n",="0.017",="0.027",="0.004",="0.013",="0.017",="0.027"
="",="(0.024)",="(0.024)",="(0.021)",="(0.024)",="(0.023)",="(0.023)"

="0.am_tf_n#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="0.am_tf_n#0.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="0.am_tf_n#1.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#0.placebo_year#c.avg_ftreat_pf_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#1.placebo_year#c.avg_ftreat_pf_n",="0.035",="-0.016",="-0.021",="-0.010",="0.035",="-0.016"
="",="(0.054)",="(0.048)",="(0.038)",="(0.055)",="(0.051)",="(0.046)"

="N",="11943",="11943",="12048",="11523",="11943",="11943"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
