
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="1.treat_year#c.totaltreat_pw_n",="0.223**",="0.245***",="0.244***",="0.275***",="0.213**",="0.215**"
="",="(0.087)",="(0.089)",="(0.092)",="(0.098)",="(0.094)",="(0.093)"

="1.am_tf_n#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#0.treat_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#1.treat_year#c.totaltreat_pw_n",="-0.475***",="-0.499***",="-0.314**",="-0.352**",="-0.210",="-0.264*"
="",="(0.182)",="(0.178)",="(0.138)",="(0.156)",="(0.145)",="(0.145)"

="N",="33410",="33410",="33410",="33410",="33410",="33410"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
