
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.placebo_year#c.totaltreat_pw_n",="-0.005",="0.031",="0.027",="-0.066",="-0.005",="0.031"
="",="(0.105)",="(0.104)",="(0.092)",="(0.099)",="(0.101)",="(0.100)"

="0.am_tf_n#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="0.am_tf_n#0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="0.am_tf_n#1.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#0.placebo_year#c.totaltreat_pw_n",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.am_tf_n#1.placebo_year#c.totaltreat_pw_n",="0.133",="0.043",="0.006",="0.057",="0.133",="0.043"
="",="(0.133)",="(0.128)",="(0.112)",="(0.122)",="(0.127)",="(0.123)"

="N",="12450",="12450",="12561",="12036",="12450",="12450"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
