spec;section;outcome;row_type;value
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_no_hs";"c_no_hs_main";   0.0016
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_no_hs";"c_no_hs_main_se";   0.0043"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_no_hs";"c_no_hs_pre";  -0.0017
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_no_hs";"c_no_hs_pre_se";   0.0048"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_no_hs";"c_no_hs_pre_ftest";   0.9086"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_no_hs";"c_no_hs_n_obs";      27,239"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_no_hs";"c_no_hs_n_firms";       3,661"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_has_hs";"c_no_hs_main";   0.0050**
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_has_hs";"c_no_hs_main_se";   0.0020"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_has_hs";"c_no_hs_pre";  -0.0005
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_has_hs";"c_no_hs_pre_se";   0.0022"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_has_hs";"c_no_hs_pre_ftest";   0.1050"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_has_hs";"c_no_hs_n_obs";      28,624"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_has_hs";"c_no_hs_n_firms";       3,665"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_no_hs";"c_has_hs_main";   0.0055*
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_no_hs";"c_has_hs_main_se";   0.0030"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_no_hs";"c_has_hs_pre";  -0.0066**
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_no_hs";"c_has_hs_pre_se";   0.0027"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_no_hs";"c_has_hs_pre_ftest";   0.0021"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_no_hs";"c_has_hs_n_obs";      27,112"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_no_hs";"c_has_hs_n_firms";       3,704"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_has_hs";"c_has_hs_main";   0.0078***
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_has_hs";"c_has_hs_main_se";   0.0022"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_has_hs";"c_has_hs_pre";  -0.0002
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_has_hs";"c_has_hs_pre_se";   0.0026"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_has_hs";"c_has_hs_pre_ftest";   0.9490"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_has_hs";"c_has_hs_n_obs";      32,334"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_layer_has_hs";"c_has_hs_n_firms";       4,121"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_no_hs";"c_no_hs_main";  -0.0006
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_no_hs";"c_no_hs_main_se";   0.0053"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_no_hs";"c_no_hs_pre";  -0.0013
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_no_hs";"c_no_hs_pre_se";   0.0056"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_no_hs";"c_no_hs_pre_ftest";   0.9726"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_no_hs";"c_no_hs_n_obs";      26,389"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_no_hs";"c_no_hs_n_firms";       3,605"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_has_hs";"c_no_hs_main";   0.0024
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_has_hs";"c_no_hs_main_se";   0.0022"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_has_hs";"c_no_hs_pre";   0.0039
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_has_hs";"c_no_hs_pre_se";   0.0031"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_has_hs";"c_no_hs_pre_ftest";   0.2766"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_has_hs";"c_no_hs_n_obs";      27,758"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_has_hs";"c_no_hs_n_firms";       3,576"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_no_hs";"c_has_hs_main";   0.0004
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_no_hs";"c_has_hs_main_se";   0.0033"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_no_hs";"c_has_hs_pre";  -0.0025
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_no_hs";"c_has_hs_pre_se";   0.0031"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_no_hs";"c_has_hs_pre_ftest";   0.0408"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_no_hs";"c_has_hs_n_obs";      26,307"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_no_hs";"c_has_hs_n_firms";       3,686"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_has_hs";"c_has_hs_main";   0.0042*
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_has_hs";"c_has_hs_main_se";   0.0023"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_has_hs";"c_has_hs_pre";   0.0040
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_has_hs";"c_has_hs_pre_se";   0.0032"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_has_hs";"c_has_hs_pre_ftest";   0.2016"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_has_hs";"c_has_hs_n_obs";      31,469"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_layer_has_hs";"c_has_hs_n_firms";       4,026"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_no_hs";"c_no_hs_main";  -0.0005
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_no_hs";"c_no_hs_main_se";   0.0017"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_no_hs";"c_no_hs_pre";   0.0006
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_no_hs";"c_no_hs_pre_se";   0.0021"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_no_hs";"c_no_hs_pre_ftest";   0.6660"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_no_hs";"c_no_hs_n_obs";      27,239"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_no_hs";"c_no_hs_n_firms";       3,661"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_has_hs";"c_no_hs_main";   0.0032***
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_has_hs";"c_no_hs_main_se";   0.0010"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_has_hs";"c_no_hs_pre";  -0.0005
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_has_hs";"c_no_hs_pre_se";   0.0009"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_has_hs";"c_no_hs_pre_ftest";   0.0939"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_has_hs";"c_no_hs_n_obs";      28,624"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_has_hs";"c_no_hs_n_firms";       3,665"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_no_hs";"c_has_hs_main";   0.0015
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_no_hs";"c_has_hs_main_se";   0.0012"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_no_hs";"c_has_hs_pre";  -0.0023**
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_no_hs";"c_has_hs_pre_se";   0.0010"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_no_hs";"c_has_hs_pre_ftest";   0.0016"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_no_hs";"c_has_hs_n_obs";      27,112"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_no_hs";"c_has_hs_n_firms";       3,704"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_has_hs";"c_has_hs_main";   0.0044***
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_has_hs";"c_has_hs_main_se";   0.0010"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_has_hs";"c_has_hs_pre";  -0.0001
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_has_hs";"c_has_hs_pre_se";   0.0012"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_has_hs";"c_has_hs_pre_ftest";   0.9239"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_has_hs";"c_has_hs_n_obs";      32,334"
"disentangle_edu2";"layer_firm_year";"lr_remdezr_h_layer_has_hs";"c_has_hs_n_firms";       4,121"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_no_hs";"c_no_hs_main";  -0.0008
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_no_hs";"c_no_hs_main_se";   0.0021"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_no_hs";"c_no_hs_pre";  -0.0003
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_no_hs";"c_no_hs_pre_se";   0.0025"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_no_hs";"c_no_hs_pre_ftest";   0.9719"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_no_hs";"c_no_hs_n_obs";      26,389"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_no_hs";"c_no_hs_n_firms";       3,605"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_has_hs";"c_no_hs_main";   0.0014
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_has_hs";"c_no_hs_main_se";   0.0011"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_has_hs";"c_no_hs_pre";   0.0015
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_has_hs";"c_no_hs_pre_se";   0.0013"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_has_hs";"c_no_hs_pre_ftest";   0.3523"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_has_hs";"c_no_hs_n_obs";      27,758"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_has_hs";"c_no_hs_n_firms";       3,576"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_no_hs";"c_has_hs_main";  -0.0004
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_no_hs";"c_has_hs_main_se";   0.0013"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_no_hs";"c_has_hs_pre";  -0.0012
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_no_hs";"c_has_hs_pre_se";   0.0013"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_no_hs";"c_has_hs_pre_ftest";   0.0396"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_no_hs";"c_has_hs_n_obs";      26,307"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_no_hs";"c_has_hs_n_firms";       3,686"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_has_hs";"c_has_hs_main";   0.0022**
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_has_hs";"c_has_hs_main_se";   0.0010"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_has_hs";"c_has_hs_pre";   0.0015
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_has_hs";"c_has_hs_pre_se";   0.0014"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_has_hs";"c_has_hs_pre_ftest";   0.3408"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_has_hs";"c_has_hs_n_obs";      31,469"
"disentangle_edu2";"layer_cross_firm";"lr_remdezr_h_layer_has_hs";"c_has_hs_n_firms";       4,026"
