spec;section;outcome;row_type;value
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_female";"c_female_main";  -0.0002
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_female";"c_female_main_se";   0.0035"
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_female";"c_female_pre";   0.0022
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_female";"c_female_pre_se";   0.0037"
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_female";"c_female_pre_ftest";   0.3822"
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_female";"c_female_n_obs";      29,460"
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_female";"c_female_n_firms";       3,831"
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_male";"c_female_main";   0.0033**
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_male";"c_female_main_se";   0.0013"
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_male";"c_female_pre";  -0.0008
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_male";"c_female_pre_se";   0.0012"
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_male";"c_female_pre_ftest";   0.4534"
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_male";"c_female_n_obs";      29,122"
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_male";"c_female_n_firms";       3,766"
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_female";"c_male_main";   0.0020
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_female";"c_male_main_se";   0.0023"
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_female";"c_male_pre";  -0.0014
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_female";"c_male_pre_se";   0.0023"
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_female";"c_male_pre_ftest";   0.7655"
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_female";"c_male_n_obs";      28,845"
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_female";"c_male_n_firms";       3,815"
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_male";"c_male_main";   0.0082***
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_male";"c_male_main_se";   0.0023"
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_male";"c_male_pre";  -0.0034
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_male";"c_male_pre_se";   0.0028"
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_male";"c_male_pre_ftest";   0.3582"
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_male";"c_male_n_obs";      31,565"
"disentangle_gender";"layer_firm_year";"lr_remdezr_layer_male";"c_male_n_firms";       4,053"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_layer_female";"c_female_main";  -0.0015
"disentangle_gender";"layer_cross_firm";"lr_remdezr_layer_female";"c_female_main_se";   0.0025"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_layer_female";"c_female_pre";   0.0029
"disentangle_gender";"layer_cross_firm";"lr_remdezr_layer_female";"c_female_pre_se";   0.0026"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_layer_female";"c_female_pre_ftest";   0.2714"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_layer_female";"c_female_n_obs";      28,599"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_layer_female";"c_female_n_firms";       3,757"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_layer_male";"c_female_main";   0.0019
"disentangle_gender";"layer_cross_firm";"lr_remdezr_layer_male";"c_female_main_se";   0.0013"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_layer_male";"c_female_pre";  -0.0002
"disentangle_gender";"layer_cross_firm";"lr_remdezr_layer_male";"c_female_pre_se";   0.0016"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_layer_male";"c_female_pre_ftest";   0.7674"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_layer_male";"c_female_n_obs";      28,323"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_layer_male";"c_female_n_firms";       3,689"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_layer_female";"c_male_main";  -0.0012
"disentangle_gender";"layer_cross_firm";"lr_remdezr_layer_female";"c_male_main_se";   0.0024"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_layer_female";"c_male_pre";  -0.0030
"disentangle_gender";"layer_cross_firm";"lr_remdezr_layer_female";"c_male_pre_se";   0.0029"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_layer_female";"c_male_pre_ftest";   0.4103"
"disentangle_gender";"layer_cross_firm";"lr_remdezr_layer_female";"c_male_n_obs";      28,018"
