layer,regressor,outcome,level,lv_o,main,main_se,pre,pre_se,pre_ftest,n_obs,n_firms
edu2,no_hs,Log Dec. wage,own_layer,no_hs,0.0016,(0.0043),-0.0017,(0.0048),0.909,"27,239","3,661"
edu2,no_hs,Log Dec. wage,cross_layer,has_hs,0.0050**,(0.0020),-0.0005,(0.0022),0.105,"28,624","3,665"
edu2,no_hs,Log Dec. wage,firm,firm,0.0057***,(0.0019),-0.0008,(0.0023),0.091,"29,555","3,713"
edu2,no_hs,Log hourly wage,own_layer,no_hs,-0.0005,(0.0017),0.0006,(0.0021),0.666,"27,239","3,661"
edu2,no_hs,Log hourly wage,cross_layer,has_hs,0.0032***,(0.0010),-0.0005,(0.0009),0.094,"28,624","3,665"
edu2,no_hs,Log hourly wage,firm,firm,0.0077***,(0.0024),-0.0010,(0.0022),0.068,"29,555","3,713"
edu2,no_hs,Log employment,own_layer,no_hs,-0.0132,(0.0085),0.0042,(0.0079),0.428,"27,239","3,661"
edu2,no_hs,Log employment,cross_layer,has_hs,0.0126,(0.0081),-0.0082,(0.0072),0.418,"28,624","3,665"
edu2,no_hs,Log employment,firm,firm,0.0067,(0.0075),-0.0003,(0.0057),0.916,"29,555","3,713"
edu2,has_hs,Log Dec. wage,own_layer,has_hs,0.0078***,(0.0022),-0.0002,(0.0026),0.949,"32,334","4,121"
edu2,has_hs,Log Dec. wage,cross_layer,no_hs,0.0055*,(0.0030),-0.0066**,(0.0027),0.002,"27,112","3,704"
edu2,has_hs,Log Dec. wage,firm,firm,0.0074***,(0.0020),0.0004,(0.0020),0.588,"32,897","4,133"
edu2,has_hs,Log hourly wage,own_layer,has_hs,0.0044***,(0.0010),-0.0001,(0.0012),0.924,"32,334","4,121"
edu2,has_hs,Log hourly wage,cross_layer,no_hs,0.0015,(0.0012),-0.0023**,(0.0010),0.002,"27,112","3,704"
edu2,has_hs,Log hourly wage,firm,firm,0.0098***,(0.0023),0.0005,(0.0020),0.516,"32,897","4,133"
edu2,has_hs,Log employment,own_layer,has_hs,0.0043,(0.0078),-0.0021,(0.0055),0.921,"32,334","4,121"
edu2,has_hs,Log employment,cross_layer,no_hs,0.0048,(0.0082),-0.0094,(0.0069),0.469,"27,112","3,704"
edu2,has_hs,Log employment,firm,firm,0.0048,(0.0066),-0.0032,(0.0045),0.703,"32,897","4,133"
gender,female,Log Dec. wage,own_layer,female,-0.0002,(0.0035),0.0022,(0.0037),0.382,"29,460","3,831"
gender,female,Log Dec. wage,cross_layer,male,0.0033**,(0.0013),-0.0008,(0.0012),0.453,"29,122","3,766"
gender,female,Log Dec. wage,firm,firm,0.0025**,(0.0011),0.0010,(0.0013),0.606,"30,737","3,861"
gender,female,Log hourly wage,own_layer,female,0.0006,(0.0015),0.0008,(0.0015),0.358,"29,460","3,831"
gender,female,Log hourly wage,cross_layer,male,0.0022**,(0.0009),-0.0003,(0.0005),0.617,"29,122","3,766"
gender,female,Log hourly wage,firm,firm,0.0039***,(0.0015),0.0006,(0.0012),0.606,"30,737","3,861"
gender,female,Log employment,own_layer,female,0.0045,(0.0060),0.0015,(0.0046),0.504,"29,460","3,831"
gender,female,Log employment,cross_layer,male,0.0072*,(0.0038),-0.0015,(0.0026),0.879,"29,122","3,766"
gender,female,Log employment,firm,firm,0.0069*,(0.0037),-0.0002,(0.0021),0.991,"30,737","3,861"
gender,male,Log Dec. wage,own_layer,male,0.0082***,(0.0023),-0.0034,(0.0028),0.358,"31,565","4,053"
gender,male,Log Dec. wage,cross_layer,female,0.0020,(0.0023),-0.0014,(0.0023),0.765,"28,845","3,815"
gender,male,Log Dec. wage,firm,firm,0.0050***,(0.0017),0.0001,(0.0020),0.766,"32,343","4,065"
gender,male,Log hourly wage,own_layer,male,0.0048***,(0.0012),-0.0011,(0.0012),0.627,"31,565","4,053"
gender,male,Log hourly wage,cross_layer,female,0.0013,(0.0010),-0.0009,(0.0010),0.539,"28,845","3,815"
gender,male,Log hourly wage,firm,firm,0.0069***,(0.0020),0.0003,(0.0021),0.764,"32,343","4,065"
gender,male,Log employment,own_layer,male,0.0138**,(0.0062),-0.0098,(0.0068),0.256,"31,565","4,053"
gender,male,Log employment,cross_layer,female,0.0059,(0.0062),-0.0011,(0.0043),0.418,"28,845","3,815"
gender,male,Log employment,firm,firm,0.0047,(0.0057),-0.0036,(0.0042),0.584,"32,343","4,065"
race,nonwhite,Log Dec. wage,own_layer,nonwhite,0.0026,(0.0033),-0.0018,(0.0028),0.978,"26,099","3,552"
race,nonwhite,Log Dec. wage,cross_layer,white,0.0034**,(0.0017),-0.0001,(0.0009),0.536,"26,830","3,486"
race,nonwhite,Log Dec. wage,firm,firm,0.0016,(0.0013),-0.0001,(0.0008),0.927,"28,606","3,605"
race,nonwhite,Log hourly wage,own_layer,nonwhite,0.0023*,(0.0014),-0.0005,(0.0013),0.950,"26,099","3,552"
race,nonwhite,Log hourly wage,cross_layer,white,0.0020**,(0.0008),-0.0002,(0.0004),0.397,"26,830","3,486"
race,nonwhite,Log hourly wage,firm,firm,0.0027**,(0.0014),0.0000,(0.0008),0.822,"28,606","3,605"
race,nonwhite,Log employment,own_layer,nonwhite,0.0186***,(0.0070),-0.0062,(0.0079),0.162,"26,099","3,552"
race,nonwhite,Log employment,cross_layer,white,-0.0048,(0.0039),0.0027,(0.0023),0.598,"26,830","3,486"
race,nonwhite,Log employment,firm,firm,-0.0018,(0.0034),0.0009,(0.0020),0.857,"28,606","3,605"
race,white,Log Dec. wage,own_layer,white,0.0076*,(0.0039),-0.0015,(0.0036),0.042,"31,203","4,035"
race,white,Log Dec. wage,cross_layer,nonwhite,0.0090***,(0.0028),0.0027,(0.0031),0.598,"25,817","3,619"
race,white,Log Dec. wage,firm,firm,0.0078***,(0.0020),0.0012,(0.0021),0.474,"32,145","4,056"
race,white,Log hourly wage,own_layer,white,0.0043**,(0.0018),-0.0010,(0.0015),0.036,"31,203","4,035"
race,white,Log hourly wage,cross_layer,nonwhite,0.0056***,(0.0014),0.0015,(0.0012),0.451,"25,817","3,619"
race,white,Log hourly wage,firm,firm,0.0102***,(0.0024),0.0015,(0.0021),0.419,"32,145","4,056"
race,white,Log employment,own_layer,white,0.0027,(0.0084),-0.0035,(0.0071),0.806,"31,203","4,035"
race,white,Log employment,cross_layer,nonwhite,-0.0034,(0.0112),0.0175***,(0.0068),0.015,"25,817","3,619"
race,white,Log employment,firm,firm,0.0008,(0.0070),0.0021,(0.0047),0.910,"32,145","4,056"
