regressor,outcome,level,lv_o,main,main_se,pre,pre_se,pre_ftest,n_obs,n_firms
0_no_hs,Log Dec. wage,own_layer,0_no_hs,0.0015,(0.0048),-0.0021,(0.0053),0.942,"27,239","3,661"
0_no_hs,Log Dec. wage,cross_layer,1_hs,0.0011,(0.0028),-0.0017,(0.0021),0.242,"28,334","3,653"
0_no_hs,Log Dec. wage,cross_layer,2_higher,0.0075**,(0.0034),0.0050,(0.0053),0.198,"20,292","2,898"
0_no_hs,Log Dec. wage,firm,firm,0.0063***,(0.0021),-0.0009,(0.0025),0.091,"29,555","3,713"
0_no_hs,Log hourly wage,own_layer,0_no_hs,-0.0006,(0.0019),0.0007,(0.0024),0.695,"27,239","3,661"
0_no_hs,Log hourly wage,cross_layer,1_hs,0.0015,(0.0014),-0.0003,(0.0009),0.233,"28,334","3,653"
0_no_hs,Log hourly wage,cross_layer,2_higher,0.0049***,(0.0015),0.0013,(0.0023),0.419,"20,292","2,898"
0_no_hs,Log hourly wage,firm,firm,0.0084***,(0.0026),-0.0011,(0.0024),0.068,"29,555","3,713"
0_no_hs,Log employment,own_layer,0_no_hs,-0.0144,(0.0090),0.0052,(0.0086),0.413,"27,239","3,661"
0_no_hs,Log employment,cross_layer,1_hs,0.0123,(0.0090),-0.0099,(0.0089),0.560,"28,334","3,653"
0_no_hs,Log employment,cross_layer,2_higher,0.0128,(0.0083),0.0060,(0.0077),0.737,"20,292","2,898"
0_no_hs,Log employment,firm,firm,0.0073,(0.0082),-0.0003,(0.0062),0.916,"29,555","3,713"
1_hs,Log Dec. wage,cross_layer,0_no_hs,0.0051,(0.0035),-0.0079**,(0.0031),0.003,"26,996","3,688"
1_hs,Log Dec. wage,own_layer,1_hs,0.0081***,(0.0025),-0.0034,(0.0033),0.356,"31,500","4,060"
1_hs,Log Dec. wage,cross_layer,2_higher,0.0012,(0.0042),0.0130**,(0.0064),0.125,"22,475","3,215"
1_hs,Log Dec. wage,firm,firm,0.0079***,(0.0024),-0.0006,(0.0023),0.407,"32,468","4,079"
1_hs,Log hourly wage,cross_layer,0_no_hs,0.0014,(0.0014),-0.0023*,(0.0013),0.007,"26,996","3,688"
1_hs,Log hourly wage,own_layer,1_hs,0.0045***,(0.0011),-0.0013,(0.0015),0.426,"31,500","4,060"
1_hs,Log hourly wage,cross_layer,2_higher,0.0028,(0.0019),0.0051*,(0.0029),0.273,"22,475","3,215"
1_hs,Log hourly wage,firm,firm,0.0102***,(0.0026),-0.0010,(0.0024),0.353,"32,468","4,079"
1_hs,Log employment,cross_layer,0_no_hs,0.0022,(0.0093),-0.0055,(0.0072),0.762,"26,996","3,688"
1_hs,Log employment,own_layer,1_hs,0.0006,(0.0087),0.0023,(0.0068),0.832,"31,500","4,060"
1_hs,Log employment,cross_layer,2_higher,0.0200,(0.0132),-0.0021,(0.0114),0.918,"22,475","3,215"
1_hs,Log employment,firm,firm,0.0064,(0.0081),-0.0028,(0.0056),0.833,"32,468","4,079"
2_higher,Log Dec. wage,cross_layer,0_no_hs,0.0011,(0.0014),-0.0027**,(0.0013),0.214,"20,908","2,812"
2_higher,Log Dec. wage,cross_layer,1_hs,0.0002,(0.0010),0.0004,(0.0013),0.845,"23,892","3,062"
2_higher,Log Dec. wage,own_layer,2_higher,-0.0052*,(0.0027),0.0091*,(0.0048),0.091,"22,057","3,020"
2_higher,Log Dec. wage,firm,firm,0.0008,(0.0009),0.0009,(0.0009),0.546,"24,690","3,099"
2_higher,Log hourly wage,cross_layer,0_no_hs,0.0004,(0.0005),-0.0009*,(0.0005),0.328,"20,908","2,812"
2_higher,Log hourly wage,cross_layer,1_hs,0.0005,(0.0004),-0.0000,(0.0005),0.957,"23,892","3,062"
2_higher,Log hourly wage,own_layer,2_higher,-0.0017,(0.0012),0.0045**,(0.0021),0.081,"22,057","3,020"
2_higher,Log hourly wage,firm,firm,0.0018,(0.0011),0.0009,(0.0009),0.512,"24,690","3,099"
2_higher,Log employment,cross_layer,0_no_hs,0.0060,(0.0040),-0.0113***,(0.0034),0.005,"20,908","2,812"
2_higher,Log employment,cross_layer,1_hs,0.0007,(0.0035),-0.0011,(0.0028),0.793,"23,892","3,062"
2_higher,Log employment,own_layer,2_higher,0.0138**,(0.0055),-0.0028,(0.0049),0.396,"22,057","3,020"
2_higher,Log employment,firm,firm,0.0038,(0.0032),-0.0041*,(0.0022),0.095,"24,690","3,099"
